"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
42629,"Networking","Other","acme","NEW"," ---","recvmsg sleeping from invalid context","2020-12-11 06:07:53"
42935,"Networking","Other","acme","NEW"," ---","cannot create vlan","2016-02-15 20:05:20"
55631,"Tracing/Profiling","Perf tool","acme","NEW"," ---","perf report appears to misattribute samples","2015-12-10 16:07:35"
56901,"Tracing/Profiling","Perf tool","acme","NEW"," ---","perf report --sort segfaults with unknown keys","2013-07-08 19:16:53"
58961,"Tracing/Profiling","Perf tool","acme","NEW"," ---","perf probe -F does not list module functions","2019-11-14 05:22:14"
59121,"Tracing/Profiling","Perf tool","acme","NEW"," ---","perf probe gets confused with C++ namespaces","2020-12-15 04:19:46"
59131,"Tracing/Profiling","Perf tool","acme","NEW"," ---","perf probe cannot find HIDDEN symbols","2019-11-14 05:23:26"
60539,"Tracing/Profiling","Perf tool","acme","NEW"," ---","Some EINVAL errors result in reading perf data from stdin","2016-04-30 12:44:53"
60613,"Tracing/Profiling","Perf tool","acme","NEW"," ---","perf dwarf unwinding does not work on parts of libpthread","2013-07-23 18:37:39"
74201,"Tracing/Profiling","Perf tool","acme","NEW"," ---","perf report gives ""bad event header size"" when reading file through pipe","2022-01-21 06:34:00"
85531,"Tracing/Profiling","Perf tool","acme","NEW"," ---","[PATCH]Makefile target perf_install missing libapikfs dependency","2014-10-23 15:46:42"
86991,"Tracing/Profiling","Perf tool","acme","NEW"," ---","Perf tool performance issues","2014-10-27 11:49:09"
92611,"Tracing/Profiling","Perf tool","acme","NEW"," ---","event grouping (and other newer event parse features) are not documented","2015-02-03 20:05:21"
100061,"Tracing/Profiling","Perf tool","acme","NEW"," ---","perf event command line completion does not support multiple events or groups","2015-06-17 18:08:23"
100731,"Tracing/Profiling","Perf tool","acme","NEW"," ---","perf script/report does not recognize symbols in .so files built with -Wl,Ttext-segment,0xXXXXX","2016-01-05 00:01:00"
106311,"Tracing/Profiling","Perf tool","acme","NEW"," ---","perf 3.13.11-ckt25 fails for perf stat -e 'node-prefetch-misses,mem-loads'","2015-10-20 00:41:59"
108091,"Tracing/Profiling","Perf tool","acme","NEW"," ---","perf script produces the wrong name for executables when threads are named","2015-11-18 02:34:22"
111051,"Tracing/Profiling","Perf tool","acme","NEW"," ---","uncore_imc/data_reads counter keeps going up","2016-02-02 15:16:16"
