"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
200843,"ACPI","Power-Thermal","acpi_acpica-core","NEW"," ---","false sensors'cpu temperature - Amd ryzen 1700x","2020-01-24 10:15:35"
202655,"ACPI","ACPICA-Core","acpi_acpica-core","NEW"," ---","AE_NOT_FOUND, While resolving a named reference package element GA-MA790XT-UD4P - AMD Phenom™ II X6","2019-09-07 09:44:45"
202729,"ACPI","ACPICA-Core","acpi_acpica-core","NEW"," ---","ACPI Error: AE_NOT_FOUND, While resolving a named reference package element - AMD Phenom™ II","2019-09-07 09:41:24"
210013,"ACPI","ACPICA-Core","acpi_acpica-core","NEW"," ---","Failure creating named object [\_SB.I2CA.WT1A], AE_ALREADY_EXISTS (20200528/dswload2-326) - AMD Threadripper 3970x","2022-01-20 16:36:16"
213765,"ACPI","ACPICA-Core","acpi_acpica-core","NEW"," ---","ACPI BIOS Error (bug): AE_AML_PACKAGE_LIMIT, Index (0x000000003) is beyond end of object (length 0x0) (20201113/exoparg2-393)","2021-07-17 14:37:28"
215101,"ACPI","ACPICA-Core","acpi_acpica-core","NEW"," ---","ASUS PRIME TRX40-PRO: ""ACPI BIOS Error (bug): Failure creating named object""","2022-02-04 20:12:18"
215345,"ACPI","BIOS","acpi_acpica-core","NEW"," ---","ACPI issues break ELAN071B:00 touchpad: sometimes working after restarting i2c_hid_acpi - AMD Ryzen 7 4700U with Radeon Graphics","2022-02-14 06:41:05"
215419,"ACPI","ACPICA-Core","acpi_acpica-core","NEW"," ---","100 ms regression in boottime before `ACPI: PCI Root Bridge [PCI0]`","2022-02-20 20:12:09"
215454,"ACPI","ACPICA-Core","acpi_acpica-core","NEW"," ---","Ubuntu can't boot with acpi=off on kernel 5.11 and boots fine with kernel 5.4.0-26.30","2022-01-07 10:43:37"
215559,"ACPI","ACPICA-Core","acpi_acpica-core","NEW"," ---","ACPI Error: No handler for Region [CMS0]","2022-02-02 06:47:36"
215581,"ACPI","ACPICA-Core","acpi_acpica-core","NEW"," ---","BUG: soft lockup in 5.17-rc3 kernel","2022-02-08 08:12:26"
215830,"ACPI","ACPICA-Core","acpi_acpica-core","NEW"," ---","Could not resolve symbol [\_PR.CPU0._CPC]","2022-04-27 23:10:33"
197151,"ACPI","BIOS","acpi_bios","NEW"," ---","Ryzen 7 1700 detect only one core with acpi=off on B350 Plus motherboard","2017-10-13 02:37:48"
201751,"ACPI","BIOS","acpi_bios","NEW"," ---","Failure creating [\_SB.SMIC], AE_ALREADY_EXISTS - AMD Ryzen 5 2400G","2019-01-09 17:32:15"
203855,"ACPI","BIOS","acpi_bios","NEW"," ---","System hangs at loading initramfs ASUS KGPE_D16 coreboot - AMD Opteron(tm) Processor 6380","2019-09-02 07:52:14"
207981,"ACPI","BIOS","acpi_bios","NEW"," ---","ACPI Error: AE_NOT_FOUND, During name lookup/catalog (20200110/psobject-220) for ASUS TUF FX505DT laptop","2021-10-26 05:06:04"
215733,"ACPI","BIOS","acpi_bios","NEW"," ---","Multiple `ACPI BIOS Error (bug)` entries in `dmesg` on Dell Inspiron 15 Plus 7510","2022-03-23 15:20:29"
215760,"ACPI","BIOS","acpi_bios","NEW"," ---","ACPI BIOS Error (bug): Failure creating named object [\_SB.PCI0.GP17.XHC0._S0W], AE_ALREADY_EXISTS (20211217/dswload2-326)","2022-03-27 16:47:48"
214945,"ACPI","Config-Interrupts","acpi_config-interrupts","NEW"," ---","PCI-E serial card works only with ""noapic"" - Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz","2022-02-14 06:39:09"
203431,"ACPI","Config-Processors","acpi_config-processors","NEW"," ---","Dell Inspiron 5485/5585, poor ACPI flags; requiring ACPI=off - AMD Ryzen","2020-01-11 06:13:46"
208785,"ACPI","Config-Processors","acpi_config-processors","NEW"," ---","ThunderX2: Thousands errors ""PCC check channel failed for ss: XXX. ret=-110"" -  Gigabyte R281-T94 server based on two 32-cores ThunderX2 ARM processor","2020-10-09 06:32:18"
203041,"ACPI","Config-Tables","acpi_config-tables","NEW"," ---","AE_AML_BUFFER_LIMIT - Asus FX705DY - AMD Ryzen 5","2021-07-18 10:40:42"
203519,"ACPI","Config-Tables","acpi_config-tables","NEW"," ---","Linux is not bootable on Lenovo Thinkpad E485 due to ACPI bug - AMD Ryzen 5 2500U","2020-01-24 10:46:54"
214803,"ACPI","Config-Tables","acpi_config-tables","NEW"," ---","ACPI Errors RTEC, _REG (AE_NOT_EXIST) - Razer Blade Stealth 13","2022-02-14 06:37:33"
215588,"ACPI","Config-Tables","acpi_config-tables","NEW"," ---","UBSAN: invalid-load in drivers/mailbox/pcc.c:684:22 - AMD Ryzen 9 5950X","2022-05-09 10:59:07"
214205,"ACPI","EC","acpi_ec","NEW"," ---","thermal sensor broken after resume, fan speed at 100% speed on Lenovo ThinkPad Carbon X1 4th Gen","2022-05-02 23:58:41"
215835,"ACPI","EC","acpi_ec","NEW"," ---","EC: No SCIs detectable from brightness hotkeys (ideapad 5 15ITL05)","2022-04-22 22:58:13"
183851,"ACPI","Other","acpi_other","NEW"," ---","pci(e) ethernet nonworking when without acpi=off when using pcie-switch based eth card - Asus A88XM-PLUS/AMD","2017-08-22 07:14:19"
194825,"ACPI","Other","acpi_other","NEW"," ---","""unexpected irq trap at vector 7"" - AMD Ryzen 7 1700X Eight-Core Processor + GA-AB350-Gaming-3 motherboard","2020-12-13 06:33:55"
200863,"ACPI","Config-Other","acpi_other","NEW"," ---","After upgrading from 4.4.0 to 4.15.0 system doesn't boot - AMD Athlon(tm) 64 X2 Dual Core Processor 6000+","2018-08-30 03:19:35"
213947,"ACPI","Other","acpi_other","NEW"," ---","I2C HID ACPI Driver Problem - AMD Ryzen 5600h HP Pavillion Gaming 15 EC2000NV","2021-12-16 14:44:46"
215626,"ACPI","Other","acpi_other","NEW"," ---","Acpi error in Dmesg","2022-03-02 10:50:01"
208341,"ACPI","Power-Battery","acpi_power-battery","NEW"," ---","[ThinkPad] Brightness-Power Supply Issue Kernel 5.8-rc's - AMD Ryzen 7 2700U/Vega 8","2020-12-09 16:49:22"
214811,"ACPI","Power-Battery","acpi_power-battery","NEW"," ---","Last full battery capacity reports higher than the design capacity - Razer Blade Stealth 13","2022-02-14 06:37:56"
215155,"ACPI","Power-Battery","acpi_power-battery","NEW"," ---","Fujitsu Lifebook A3510 - battery absent, AC status changes not reported","2022-01-10 20:12:47"
215651,"ACPI","Power-Battery","acpi_power-battery","NEW"," ---","Battery charge limit is reset on every boot on ASUS laptops","2022-03-05 23:12:11"
199349,"ACPI","Power-Off","acpi_power-off","NEW"," ---","System hangs on shutdown/reboot with newer kernel - Toshiba Satellite A210 (AMD Turion X2, ATI Radeon HD2600)","2019-08-24 05:09:52"
