"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
39652,"Documentation","man-pages","documentation_man-pages","NEW"," ---","connect (2) under IPv6 has an incomplete list of returnable error numbers","2020-08-03 19:54:30"
43249,"Documentation","man-pages","documentation_man-pages","NEW"," ---","connect(2) changes INADDR_ANY meaning for UDP sockets","2012-05-14 22:28:33"
61511,"Documentation","man-pages","documentation_man-pages","NEW"," ---","scanf man page is incomplete re out-of-range integer conversions","2015-10-04 21:09:00"
67511,"Documentation","man-pages","documentation_man-pages","NEW"," ---","tcp(7) does not include information about the TCP_MD5SIG socket option","2013-12-22 15:03:12"
76851,"Documentation","man-pages","documentation_man-pages","NEW"," ---","inotify_rm_watch(2) unspecified behavior","2014-05-30 12:34:02"
79751,"Documentation","man-pages","documentation_man-pages","NEW"," ---","snprintf and EOVERFLOW","2014-07-09 19:40:02"
97511,"Documentation","man-pages","documentation_man-pages","NEW"," ---","Document vm.overcommit_memory=2 interaction with mmap/mprotect/madvise","2015-04-29 15:15:29"
104561,"Documentation","man-pages","documentation_man-pages","NEW"," ---","Autobind in unix domain sockets always requires call to bind","2015-09-15 07:45:12"
115721,"Documentation","man-pages","documentation_man-pages","NEW"," ---","rtnetlink(7) / RTM_GETROUTE specifies incorrect structure","2016-04-01 22:11:38"
119351,"Documentation","man-pages","documentation_man-pages","NEW"," ---","misleading information about buffer size limits in tcp(7)","2016-05-31 17:55:26"
121211,"Documentation","man-pages","documentation_man-pages","NEW"," ---","Please provide conventions for documenting subcommands in man-pages(7)","2016-07-07 18:26:01"
178241,"Documentation","man-pages","documentation_man-pages","NEW"," ---","tcp.7 says SIOCOUTQ counts unsent bytes, but in actually counts unacknowledged bytes","2016-10-18 14:20:27"
188121,"Documentation","man-pages","documentation_man-pages","NEW"," ---","printf(3): was everything processed and written completely?","2016-11-18 20:43:39"
194593,"Documentation","man-pages","documentation_man-pages","NEW"," ---","time unit wrong in Documentation/filesystems/proc.txt  desc  /proc/[pid]/stat","2019-01-26 08:18:53"
194757,"Documentation","man-pages","documentation_man-pages","NEW"," ---","fsync man page should mention that EIO and ENOSPC are cleared","2020-08-30 05:43:29"
194881,"Documentation","man-pages","documentation_man-pages","NEW"," ---","sendfile man page wrong regarding output file position w/ 2.6.33","2017-03-14 14:38:49"
197891,"Documentation","man-pages","documentation_man-pages","NEW"," ---","/proc/sys/fscache is not listed in the relevant documentation","2018-11-05 10:13:05"
197905,"Documentation","man-pages","documentation_man-pages","NEW"," ---","sigaction: SI_SIGIO is used again in starting from kernel 4.14","2017-11-17 16:37:51"
198289,"Documentation","man-pages","documentation_man-pages","NEW"," ---","Extend section for /proc/meminfo in proc(5)","2017-12-27 16:50:51"
198553,"Documentation","man-pages","documentation_man-pages","NEW"," ---","nl_langinfo() and strftime() now supports alternative month names","2018-02-02 19:18:35"
198693,"Documentation","man-pages","documentation_man-pages","NEW"," ---","POSIX man pages use − instead of - for flags","2019-10-18 14:41:41"
199001,"Documentation","man-pages","documentation_man-pages","NEW"," ---","fopen(3) glibc extensions of mode, must be at end","2018-03-05 04:45:49"
199131,"Documentation","man-pages","documentation_man-pages","NEW"," ---","epoll(7) claims read never returns early","2020-04-23 10:53:38"
199213,"Documentation","man-pages","documentation_man-pages","NEW"," ---","wait4(2): Explain what is rusage set to","2018-04-01 02:33:37"
