"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
196013,"Drivers","HotPlug","acpi_config-hotplug","NEW"," ---","Thunderbolt Dock Disconnection Causes Kernel Panic","2017-06-19 23:56:04"
107051,"Drivers","Platform_x86","acpi_config-interrupts","NEW"," ---","GPIO not working on Bay Trail Crystal Cove PMIC","2016-07-25 20:44:48"
205405,"Drivers","Platform","acpi_power-fan","NEW"," ---","thinkpad_acpi only detects 1 of 2 fans","2019-11-03 20:14:32"
48491,"Drivers","Video(AGP)","airlied","NEW"," ---","No picture with framebuffer while using GF5500 (Inno 3D)","2013-12-23 16:37:21"
60759,"Drivers","Video(AGP)","airlied","NEW"," ---","Oops when switching from integrated (intel) to discrete (radeon) graphic","2016-03-23 18:59:53"
69801,"Drivers","Video(DRI - non Intel)","airlied","NEW"," ---","Radeon card with KMS enabled -> crash & hard freeze upon resume","2016-03-23 18:30:34"
70561,"Drivers","Video(DRI - non Intel)","airlied","NEW"," ---","Third Display No Longer Detected","2014-02-17 12:03:36"
75551,"Drivers","Video(AGP)","airlied","NEW"," ---","agpgart-sis driver can't determine AGP aperture size when AGP aperture is set to 512MB is BIOS","2014-05-06 03:08:06"
99121,"Drivers","Video(AGP)","airlied","NEW"," ---","fedora 22 does not show installer screen","2015-05-28 21:50:59"
107021,"Drivers","Video(AGP)","airlied","NEW"," ---","there exists a wrong return value of function sh_mobile_lcdc_probe() when ioremap_nocache() returns NULL","2015-11-02 05:37:50"
117381,"Drivers","Video(AGP)","airlied","NEW"," ---","Live CD boot freezee : NVRM: NVIDIA init module failed!","2016-04-29 15:59:19"
191771,"Drivers","Video(AGP)","airlied","NEW"," ---","Compile Failure - /gpu/drm/gma500/mdfld_dsi_output.o","2017-01-07 08:14:04"
192361,"Drivers","Video(AGP)","airlied","NEW"," ---","Bug in drivers/gpu/drm/drm_mm.c check_free_hole evaluation of alignment - remainder","2017-01-11 07:44:31"
197967,"Drivers","Video(AGP)","airlied","NEW"," ---","radeon crashes on hd8970M","2017-11-23 09:40:58"
