"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
213845,"EFI","Boot","acpi_bios","NEW"," ---","[ 0.096072] DMAR: [Firmware Bug]: No firmware reserved region can cover this (at boot)","2021-07-26 07:08:53"
203605,"EFI","Boot","akpm","NEW"," ---","Couldn't get size: 0x800000000000000e","2019-05-31 17:42:12"
188291,"EFI","Boot","efi","NEW"," ---","Probleme de chargement kernel X.509 certificate (-64)","2016-11-21 19:04:13"
190101,"EFI","Boot","efi","NEW"," ---","Cannot boot kernel after commit 536e0e81","2016-12-23 00:27:52"
192511,"EFI","Other","efi","NEW"," ---","After dca0f971ea6fcf2f1bb78f7995adf80da9f4767f kernel reserves additional memory.","2017-03-16 13:30:32"
197021,"EFI","Boot","efi","NEW"," ---","MODSIGN: Couldn't get UEFI db list","2020-01-10 07:36:42"
197115,"EFI","Boot","efi","NEW"," ---","Boot hangs when BIOS_CNTL register on LPC has BLE (BIOS Lock Enable) bit set","2017-10-03 17:50:04"
197895,"EFI","Boot","efi","NEW"," ---","GA-E350N-WIN8 gigabyte motherboard wont boot amd64 kernel","2019-10-06 00:04:55"
203761,"EFI","Boot","efi","NEW"," ---","efivar_ssdt_iter is subject to stack corruption when the input name_size is 0","2019-05-31 19:44:31"
204289,"EFI","Boot","efi","NEW"," ---","When I install GNU/Linux in UEFI mode on HP 250 G6 kernel panic occurs","2019-09-07 11:35:00"
205445,"EFI","Boot","efi","NEW"," ---","Coreboot 4.10: gsmi: failed to allocate name buffer. BUG: kernel NULL pointer dereference","2019-11-13 18:17:33"
205515,"EFI","Boot","efi","NEW"," ---","Spurious ^A displayed as kernel boot commandline","2019-11-13 16:11:32"
205697,"EFI","Other","efi","NEW"," ---","ThinkPad X280: Disabling Trackpad in UEFI settings doesn't disable Trackpad in Linux","2019-11-29 00:12:10"
206051,"EFI","Video","efi","NEW"," ---","Rounding issue causes simplefb to reject EFI framebuffer data","2020-01-12 05:00:19"
206455,"EFI","Other","efi","NEW"," ---","Issues with efivars causing efibootmgr to display no entries","2020-02-07 11:53:22"
206789,"EFI","Boot","efi","NEW"," ---","exit_boot() failed efi_main() failed then hangs","2020-12-18 18:48:36"
206953,"EFI","Boot","efi","NEW"," ---","Kernel update results in UEFI key management dialogs, errors and boot loader is not found","2020-03-25 15:35:57"
207143,"EFI","Boot","efi","NEW"," ---","SoC:  problem debugging noticeable delay after grub2 loads vmlinuz and  initrd on baytrail (silvermont; intel atom architecture).","2020-04-07 10:41:10"
207415,"EFI","Boot","efi","NEW"," ---","Kernel will not boot on MacBook Pro","2020-04-23 22:07:23"
207721,"EFI","Video","efi","NEW"," ---","video frozen, no login but syslog: ""systemd[1]: Startup finished"" HP ZBook 17 G4","2020-05-13 12:38:05"
207767,"EFI","Video","efi","NEW"," ---","amdgpu fails at boot (4 in ~5 times): Invalid PCI ROM header signature (0xffff - fb0: switching to amdgpudrmfb from EFI VGA)","2020-05-18 08:19:59"
208029,"EFI","Boot","efi","NEW"," ---","""efi_recover_from_page_fault"" error during boot","2020-06-02 06:05:29"
210525,"EFI","Boot","efi","NEW"," ---","[C gcc] restore msabi gcc option","2020-12-07 15:44:33"
210969,"EFI","Other","efi","NEW"," ---","Acer ES1-533: Writes to EFI variables result in system hang","2022-03-18 09:16:56"
211549,"EFI","Boot","efi","NEW"," ---","integrity: Problem loading X.509 certificate","2021-02-03 16:58:57"
213847,"EFI","Boot","efi","NEW"," ---","RMRR [  0.095946] [Firmware Bug] No firmware reserved region can cover this (Surface Pro 3)","2021-07-25 14:42:59"
213849,"EFI","Boot","efi","NEW"," ---","[  0.095410 & 0.095422] DMAR: [Firmware Bug]   (Intel Haswell i5 integrated CPU/GPU)","2021-07-26 07:09:58"
213853,"EFI","Boot","efi","NEW"," ---","Possibly ACPI too: [0.095734] DMAR: [Firmware Bug]: No firmware reserved region","2021-07-25 17:01:12"
213991,"EFI","Boot","efi","NEW"," ---","'exit_boot() failed' due to EFI_MMAP_NR_SLACK_SLOTS being too low (on 2.31 AMI UEFI)","2021-08-17 15:27:18"
215203,"EFI","Video","efi","NEW"," ---","Monitors no longer remain in a sleep state","2022-01-03 19:33:52"
119131,"EFI","Boot","efi","ASSIGNED"," ---","amd64 kernel hangs during EFI boot on MacPro 1,1","2018-12-22 19:40:51"
65841,"EFI","Services","efi","RESOLVED","CODE_FIX","Dell Venue 8 Pro (Bay Trail) kernel crashes part way through boot with kernels 3.12 and 3.13","2020-12-02 06:28:55"
67911,"EFI","Video","efi","RESOLVED","CODE_FIX","Venue 8 Pro (valleyview): warn_slowpath_common while processing ACPI tables (I think)","2014-03-11 20:33:43"
68761,"EFI","Boot","efi","RESOLVED","CODE_FIX","Unable to boot using UEFI","2014-08-06 14:38:07"
74981,"EFI","Boot","efi","RESOLVED","INSUFFICIENT_DATA","cpu crash when executing efi_phys_call on Lenovo Thinkpad Tablet 2","2016-05-12 10:58:31"
75021,"EFI","Boot","efi","RESOLVED","CODE_FIX","SGI UV fails to boot with recent EFI changes","2016-03-14 20:34:03"
80321,"EFI","Boot","efi","RESOLVED","INVALID","Lenovo W530: Freeze on boot with CSM enabled","2014-07-26 13:12:39"
81321,"EFI","Boot","efi","RESOLVED","CODE_FIX","WARNING: CPU: 0 PID: 0 at mm/page_alloc.c:2522","2014-08-21 19:09:19"
81891,"EFI","Boot","efi","RESOLVED","CODE_FIX","Meaningless ""setup_efi_pci() failed!"" on boot","2014-09-28 21:49:38"
82891,"EFI","Boot","efi","RESOLVED","INSUFFICIENT_DATA","vtc1010 device no more EFI bootable after v3.14.3 (7e8213c1f)","2014-11-01 09:23:00"
84241,"EFI","Boot","efi","RESOLVED","CODE_FIX","Fails to boot on Baytrail tablet","2019-10-16 10:55:39"
88201,"EFI","Other","efi","RESOLVED","UNREPRODUCIBLE","irq 16: nobody cared and ""general protection fault"" if rebooted from Win8 on Lenovo t440p","2015-07-08 15:10:47"
96221,"EFI","Boot","efi","RESOLVED","PATCH_ALREADY_AVAILABLE","annoying BGRT invalid status message","2015-07-01 12:01:39"
98721,"EFI","Video","efi","RESOLVED","WILL_NOT_FIX","No output on console when boot kernel 4.0.4 with UEFI mode","2015-06-09 08:07:21"
100391,"EFI","Boot","efi","RESOLVED","INVALID","syntax error in newly created grub.cfg","2015-07-08 14:46:54"
101291,"EFI","Other","efi","RESOLVED","OBSOLETE","Oops when trying to access efivars after hibernation","2016-03-15 22:46:43"
102581,"EFI","Boot","efi","RESOLVED","UNREPRODUCIBLE","Kernel will not boot with EFI stub when AUDIT is enabled.","2016-05-12 10:57:43"
106051,"EFI","Services","efi","RESOLVED","CODE_FIX","efivarsfs not available on Surface 3 (Cherrytrail)","2015-11-05 15:48:45"
