"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
105241,"IO/Storage","LVM2/DM","agk","NEW"," ---","LVM raid1: sync does not start (stuck at 0%)","2016-05-31 12:37:33"
109851,"IO/Storage","LVM2/DM","agk","NEW"," ---","list_del corruption in device-mapper, check_submounts_and_drop","2016-03-23 18:22:18"
135481,"IO/Storage","LVM2/DM","agk","NEW"," ---","Page Allocation Failures/OOM with dm-crypt on md RAID10 with in-progress check/repair/sync","2016-11-20 22:55:26"
177481,"IO/Storage","LVM2/DM","agk","NEW"," ---","(role < 0) comparison in dm-raid.c will never succeed on x64 machines","2016-10-13 20:31:45"
196587,"IO/Storage","LVM2/DM","agk","NEW"," ---","BLKZEROOUT on dm-crypt container cause OOM / kernel panic","2017-08-05 10:10:15"
198647,"IO/Storage","LVM2/DM","agk","NEW"," ---","device-mapper raid1 without metadata devices hangs on first write","2018-02-02 22:14:10"
200823,"IO/Storage","LVM2/DM","agk","NEW"," ---","Discard takes mkfs.xfs into infinite loop","2018-08-15 17:04:45"
201059,"IO/Storage","LVM2/DM","agk","NEW"," ---","LVM bug from freeze (LXD)","2020-05-29 12:10:51"
201969,"IO/Storage","LVM2/DM","agk","NEW"," ---","iscsi sd device will not recognized as LVM device anymore","2018-12-12 09:06:14"
203045,"IO/Storage","Serial ATA","agk","NEW"," ---","special device /dev/mapper/vg_external-lvm1 does not exist","2019-03-26 18:55:00"
203141,"IO/Storage","LVM2/DM","agk","NEW"," ---","volume/fs hung during btrfs scrub -- kernel BUG at ./include/linux/scatterlist.h:90!","2019-04-03 15:58:06"
112361,"IO/Storage","DIO","akpm","NEW"," ---","Unable to create an encrypted partition on Seagate STCA3000101 external USB-Drive","2016-02-12 11:35:17"
200105,"IO/Storage","LVM2/DM","akpm","NEW"," ---","High paging activity as soon as the swap is touched (with steps and code to reproduce it)","2019-12-14 10:21:43"
204411,"IO/Storage","DIO","akpm","NEW"," ---","Kernel oops under heavy load from QEMU","2019-08-02 21:17:27"
208089,"IO/Storage","DIO","akpm","NEW"," ---","System freezes completely","2020-06-06 13:34:13"
51931,"IO/Storage","Serial ATA","alan","NEW"," ---","Intermittent no boot with failed IDENTIFY on ASM1061 when DVD attached","2019-02-26 23:24:08"
55051,"IO/Storage","Serial ATA","alan","NEW"," ---","HDIO_DRIVE_CMD for CHECK_POWER_MODE with nsectors = 1 returns 512 bytes of data but probably should not","2013-11-13 21:54:43"
42752,"IO/Storage","Block Layer","axboe","NEW"," ---","Deadlock in loopback device with nested LVM volumes","2019-03-06 01:42:12"
42774,"IO/Storage","Block Layer","axboe","NEW"," ---","Crash when applying partitioning operations in partitionmanager caused by kernel BUG in block_dev.c:1262!","2020-07-02 02:39:24"
43521,"IO/Storage","Block Layer","axboe","NEW"," ---","Amiga RDB partitions: truncates miscalculated partition size instead of refusing to use it","2018-04-26 11:11:38"
47711,"IO/Storage","Block Layer","axboe","NEW"," ---","[PATCH]Unaligned DISCARD on rd RAM block device corrupts data","2016-06-05 03:36:48"
49951,"IO/Storage","Block Layer","axboe","NEW"," ---","writing data to usb attached disk doesn't allow sync() to finish","2016-03-07 15:17:17"
54101,"IO/Storage","Block Layer","axboe","NEW"," ---","cciss driver doesn't recognize root device after kernel upgrade","2016-03-23 18:19:24"
63681,"IO/Storage","Block Layer","axboe","NEW"," ---","perf samples too long (2558 > 2500), lowering kernel.perf_event_max_sample_rate to 50000","2016-03-23 18:21:05"
83561,"IO/Storage","Block Layer","axboe","NEW"," ---","Suboptimal chainsaw behavior in copying between to SD cards","2016-06-05 03:32:52"
92181,"IO/Storage","Block Layer","axboe","NEW"," ---","Is it possible to drop(evict) cached discarded(TRIM) blocks at the moment they are discarded?","2016-06-05 03:24:20"
92571,"IO/Storage","Block Layer","axboe","NEW"," ---","direct write to /dev/sd* of an usb flash drive is very slow","2016-03-23 18:20:05"
