"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
8691,"Memory Management","Other","akpm","NEW"," ---","mremap: Wrong behaviour expanding a MAP_SHARED anonymous mapping","2012-10-10 05:31:05"
34472,"Memory Management","Other","akpm","NEW"," ---","Error-valued pointer dereferences in the Memory Management Module","2014-06-25 15:55:07"
34482,"Memory Management","Other","akpm","NEW"," ---","Error-valued pointers used in pointer arithmetic in the Memory Management module","2015-09-10 07:09:05"
40402,"Memory Management","Other","akpm","NEW"," ---","Memory being cached and not released causing out_of_memory issue or high swap usage when memory is not used up","2019-11-15 19:49:15"
41102,"Memory Management","Slab Allocator","akpm","NEW"," ---","BUG dentry: Poison overwritten / BUG buffer_head: Poison overwritten","2019-11-05 07:11:05"
42922,"Memory Management","Other","akpm","NEW"," ---","linux-3.2.9: OOPS in arch_get_unmapped_area_topdown()","2020-09-23 15:09:05"
43028,"Memory Management","Other","akpm","NEW"," ---","INFO: rcu_bh detected stall on CPU 3 (t=0 jiffies)","2014-08-27 18:49:29"
49361,"Memory Management","Page Allocator","akpm","NEW"," ---","configuring TRANSPARENT_HUGEPAGE_ALWAYS can make system unresponsive and reboot","2012-11-02 18:00:36"
49711,"Memory Management","Other","akpm","NEW"," ---","rcu_sched stall in mem_cgroup_out_of_memory","2012-10-29 12:38:19"
50311,"Memory Management","Other","akpm","NEW"," ---","include/linux/mm.h page_mapping() bug of swapcache case","2016-03-07 15:19:38"
50961,"Memory Management","Other","akpm","NEW"," ---","kswapd0 goes into a cpu eating loop","2017-01-06 04:53:51"
50981,"Memory Management","Other","akpm","NEW"," ---","generic_file_aio_read ?: No locking means DATA CORRUPTION read and write on same 4096 page  range","2012-11-27 07:13:07"
51961,"Memory Management","Other","akpm","NEW"," ---","kfifo_alloc & kfifo_init are buggy (size aligned round-down, instead of round-up).","2012-12-25 12:10:11"
53031,"Memory Management","Other","akpm","NEW"," ---","kswapd in uninterruptible sleep state","2013-02-03 09:19:08"
53451,"Memory Management","Other","akpm","NEW"," ---","encrypted swap: rcu_sched self-detected stall on CPU","2013-11-18 15:46:08"
53791,"Memory Management","Other","akpm","NEW"," ---","vmalloc=xxxMB makes problems with oom","2018-12-26 20:33:18"
53921,"Memory Management","Page Allocator","akpm","NEW"," ---","page allocation failures: order:1, mode:0x20 on high loaded server","2015-06-26 13:28:13"
54151,"Memory Management","Slab Allocator","akpm","NEW"," ---","Crash cgdeleting empty memory cgroups with memory.kmem.limit_in_bytes set","2013-02-20 15:50:49"
54931,"Memory Management","Slab Allocator","akpm","NEW"," ---","Null pointer dereference while unmounting USB storage","2013-03-07 02:42:59"
55131,"Memory Management","Other","akpm","NEW"," ---","10Gbit ixgbe driver (?) stalls kernel","2020-07-22 08:01:03"
57031,"Memory Management","Other","akpm","NEW"," ---","Server hangs after / at rcu_bh_state stall","2013-05-14 13:32:36"
57161,"Memory Management","Other","akpm","NEW"," ---","feature request: allow mmap with no permissions to low pages","2015-05-17 20:20:17"
57901,"Memory Management","Other","akpm","NEW"," ---","Writing a large file runs the system out of memory (all RAM becomes devoted to file cache)","2013-05-09 17:51:50"
57951,"Memory Management","Page Allocator","akpm","NEW"," ---","race: mmap removes previous mapping when failing to map with MAP_HUGETLB|MAP_FIXED","2015-03-20 17:01:15"
59901,"Memory Management","Other","akpm","NEW"," ---","OOM deadlock","2013-08-27 09:30:22"
62321,"Memory Management","Other","akpm","NEW"," ---","issues with large memory allocation/population when using encrypted swap","2016-04-19 04:13:48"
63911,"Memory Management","Other","akpm","NEW"," ---","using lxc then oom and system crash around 5 day one time","2016-03-07 15:20:17"
64121,"Memory Management","Other","akpm","NEW"," ---","[BISECTED] ""mm"" performance regression updating from 3.2 to 3.3","2016-07-29 17:00:58"
64521,"Memory Management","Slab Allocator","akpm","NEW"," ---","Various memory bitflips scribbles on Gigabyte *87* boxes (no clear cause)","2014-03-19 06:55:58"
64551,"Memory Management","Page Allocator","akpm","NEW"," ---","It is possible that the kernel would read a value from NULL pointer which will cause system crashed.","2013-11-07 08:43:12"
65201,"Memory Management","Other","akpm","NEW"," ---","kswapd0 randomly high cpu load","2022-02-11 23:03:10"
66511,"Memory Management","Page Allocator","akpm","NEW"," ---","Oops BUG: Bad page map in process python  pte:ffffffff pmd:1aea9b03","2013-12-04 18:21:09"
66931,"Memory Management","Other","akpm","NEW"," ---","BUG: Bad page map in process ....","2019-08-05 19:16:24"
67201,"Memory Management","Other","akpm","NEW"," ---","kernel panic and hard lockup with zswap and memcg","2013-12-17 14:18:30"
68091,"Memory Management","Other","akpm","NEW"," ---","/proc/16821/status:VmLib: 18446744073709551612 kB","2014-01-03 23:30:04"
68221,"Memory Management","Page Allocator","akpm","NEW"," ---","snd-ice1712 does not work for kernel 3.12.x any longer","2017-03-06 20:38:45"
70461,"Memory Management","Other","akpm","NEW"," ---","[PATCH] type error in native_make_pud() ?","2014-02-17 12:09:11"
