"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
42629,"Networking","Other","acme","NEW"," ---","recvmsg sleeping from invalid context","2020-12-11 06:07:53"
42935,"Networking","Other","acme","NEW"," ---","cannot create vlan","2016-02-15 20:05:20"
51061,"Networking","Wireless","aspriel","NEW"," ---","brcmsmac crashes and disconnects","2016-02-15 20:23:16"
105881,"Networking","Wireless","john.stultz","NEW"," ---","System freezes with Kernel BUG at kernel/time/timer.c:1108 run_timer_softirq()","2016-02-15 20:22:55"
42650,"Networking","Netfilter/Iptables","networking_netfilter-iptables","NEW"," ---","Panic with netfilter on bridge with KVM","2012-08-30 14:06:16"
50531,"Networking","Netfilter/Iptables","networking_netfilter-iptables","NEW"," ---","PROBLEM: connlimit functionality limited to zone 0","2016-02-15 20:40:32"
52991,"Networking","Netfilter/Iptables","networking_netfilter-iptables","NEW"," ---","Race condition in netfilter connection tracking can lead to erroneous DROPs","2014-03-14 18:10:18"
59951,"Networking","Netfilter/Iptables","networking_netfilter-iptables","NEW"," ---","kernel panic at ipt_do_table+0x450/0x5bc","2016-02-15 15:24:37"
60668,"Networking","Netfilter/Iptables","networking_netfilter-iptables","NEW"," ---","Kernel OPS when reloading iptables after trying to remove module iptable_nat","2017-03-06 20:23:20"
60740,"Networking","Netfilter/Iptables","networking_netfilter-iptables","NEW"," ---","CONFIG_NETFILTER_NETLINK not defined explicitly - needed for netfilter ipset program.","2016-02-15 20:20:45"
64051,"Networking","Netfilter/Iptables","networking_netfilter-iptables","NEW"," ---","Panic involving nf_conntrack and e1000e","2016-11-09 19:38:15"
65191,"Networking","Netfilter/Iptables","networking_netfilter-iptables","NEW"," ---","BUG in nf_nat_cleanup_conntrack","2016-02-15 20:34:56"
69271,"Networking","Netfilter/Iptables","networking_netfilter-iptables","NEW"," ---","ipset magic output in dmesg","2014-01-23 00:36:10"
72171,"Networking","Netfilter/Iptables","networking_netfilter-iptables","NEW"," ---","Kerner panic","2016-02-15 20:08:54"
79601,"Networking","Netfilter/Iptables","networking_netfilter-iptables","NEW"," ---","nftable : bridge mac address filter segfault","2016-02-15 20:10:30"
80601,"Networking","Netfilter/Iptables","networking_netfilter-iptables","NEW"," ---","net/netfilter/ipvs/ip_vs_ctl.c:2341: pointless test ?","2016-02-15 20:20:27"
