"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
82111,"Other","Other","akpm","NEW"," ---","kernel Oopses on futex_wake three times during boot","2015-01-29 13:52:34"
72141,"Other","Configuration","alan","NEW"," ---","CONFIG_INITRAMFS_COMPRESSION misspelled as CONFIG_RD in usr/Makefile","2014-04-19 16:44:20"
42831,"Other","Bug Tracker","bugme-admin","NEW"," ---","Request to add LogFS in the list File System components","2013-12-23 15:34:43"
51471,"Other","Bug Tracker","bugme-admin","NEW"," ---","bug tracker website does not allow files over 1MB","2020-02-08 19:03:11"
61181,"Other","Bug Tracker","bugme-admin","NEW"," ---","boot with an official Ubuntu kernel and re-file.","2021-07-04 08:49:35"
77701,"Other","Bug Tracker","bugme-admin","NEW"," ---","Resume after suspend-to-RAM crashes","2021-07-04 09:15:18"
77891,"Other","Bug Tracker","bugme-admin","NEW"," ---","Error after suspend","2021-07-04 09:14:59"
79171,"Other","Bug Tracker","bugme-admin","NEW"," ---","User process tainting in linux-next tree.","2021-07-04 09:14:29"
88261,"Other","Bug Tracker","bugme-admin","NEW"," ---","Selection in list of status in advanced search should be a multiselection list without the need to press <kbd>Ctrl</kbd>","2014-11-15 16:37:44"
89571,"Other","Bug Tracker","bugme-admin","NEW"," ---","Bug Tracking Tool for Chola","2021-07-04 09:21:03"
91591,"Other","Bug Tracker","bugme-admin","NEW"," ---","timezone Europe/Minsk wrong?","2015-01-20 08:18:17"
96011,"Other","Bug Tracker","bugme-admin","NEW"," ---","Display version of bugzilla instance in footer","2015-04-02 16:32:52"
96021,"Other","Bug Tracker","bugme-admin","NEW"," ---","Don't enforce entering of kernel version when filing bugs against ""Bug Tracker"" component, but the bug tracker version","2015-04-02 16:35:14"
96031,"Other","Bug Tracker","bugme-admin","NEW"," ---","Increase file upload size limit for btrfs","2016-02-15 21:58:57"
96151,"Other","Other","bugme-admin","NEW"," ---","BUG: unable to handle kernel NULL pointer dereference at (null)","2020-07-20 07:40:05"
96621,"Other","Bug Tracker","bugme-admin","NEW"," ---","Automatic audio/video playback on unattended system (Quirk)","2021-07-04 09:11:03"
111141,"Other","Bug Tracker","bugme-admin","NEW"," ---","Limit Kernel Version column length to a sensible value (messes up layout)","2016-01-21 19:15:14"
119231,"Other","Bug Tracker","bugme-admin","NEW"," ---","testing purpose","2021-07-04 09:05:59"
151881,"Other","Bug Tracker","bugme-admin","NEW"," ---","Request to add an 'IOMMU' component to the Drivers catagory for bugs","2021-07-04 09:04:23"
183551,"Other","Bug Tracker","bugme-admin","NEW"," ---","Graphics randomly freezing","2021-07-04 09:02:44"
