"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
206487,"Power Management","Other","bp","NEW"," ---","Random freezes/crashes with enabled C-State C6 - AMD Ryzen","2021-10-03 07:27:52"
215367,"Power Management","Hibernation/Suspend","david.e.box","NEW"," ---","5.15.10: XPS 13 7390 ICL not able to enter S0ix, low_power_idle_system_residency_us 0","2022-04-23 01:54:55"
210095,"Power Management","Hibernation/Suspend","drivers_video-dri","NEW"," ---","amdgpu : hibernate failed on A12-9700P (R7 bristol ridge) - ASUS X555 Q","2021-01-02 11:11:17"
215057,"Power Management","intel_pstate","kristen.c.accardi","NEW"," ---","intel_pstate ""powersave"" governor results in worse performance than generic ACPI ""ondemand"" governor","2021-12-09 19:26:00"
215554,"Power Management","intel_pstate","kristen.c.accardi","NEW"," ---","Cannot use energy_performance_preference without HWP","2022-03-21 00:31:46"
199909,"Power Management","intel_idle","lenb","NEW"," ---","cstates: system freeze, disable deep c-state improves - Core i7-7500U","2021-02-15 21:04:33"
207733,"Power Management","cpuidle","lenb","NEW"," ---","Can't disable CONFIG_CPU_IDLE without losing frequency governor control on Ryzen","2020-05-14 06:17:15"
208551,"Power Management","cpuidle","lenb","NEW"," ---","Random full system freezes with AMD Ryzen 5 1600","2020-08-07 15:38:08"
215707,"Power Management","intel_idle","lenb","NEW"," ---","Linux tends to hard freeze after idling","2022-03-21 15:40:38"
198637,"Power Management","cpufreq","linux-pm","NEW"," ---","cpuinfo_cur_freq differs from scaling_cur_freq on an AMD FX-8320E","2018-02-01 17:20:09"
202701,"Power Management","cpufreq","linux-pm","NEW"," ---","Deadlock scenario in cgroup/cpuset and cpuhotplug","2019-03-25 04:39:38"
203063,"Power Management","cpufreq","linux-pm","NEW"," ---","Laptop CPU clocked down until disconnecting and reconnecting power cord - AMD Ryzen 2700","2019-04-17 16:16:03"
207365,"Power Management","cpufreq","linux-pm","NEW"," ---","related_cpus truncated - threadripper 1950x","2020-06-22 13:29:59"
213115,"Power Management","cpufreq","linux-pm","NEW"," ---","Unable to set the lowest frequency of AMD CPUs via cpupower - while kernel 5.12.4 (or 5.3.18) is booted with ""nosmt""","2021-05-17 21:20:10"
215135,"Power Management","cpufreq","linux-pm","NEW"," ---","proposed cpufreq driver amd-pstate regresses wrt acpi-cpufreq on some AMD EPYC Zen3","2022-01-18 09:54:10"
215574,"Power Management","cpufreq","linux-pm","NEW"," ---","Frequency boost disabled by default on Asus PN50 - Ryzen 7 4800U","2022-04-18 14:20:15"
