"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
214469,"Process Management","Preemption","acpi_other","NEW"," ---","mce_setup BUG: using smp_processor_id() in preemptible [00000000] code: swapper/0/1","2021-10-30 06:24:02"
215075,"Process Management","Scheduler","drivers_platform_x86","NEW"," ---","BUG: scheduling while atomic: cpuhp/1/21/0x00000002 when going out of sleep S3 state","2021-12-11 19:59:43"
42717,"Process Management","Scheduler","mingo","NEW"," ---","WARNING: at net/sched/sch_generic.c:255 dev_watchdog+0xc5/0x118()","2016-02-18 12:44:00"
49661,"Process Management","Scheduler","mingo","NEW"," ---","Cpuset doesn't work?","2018-09-05 23:45:22"
57781,"Process Management","Scheduler","mingo","NEW"," ---","kernel bug while playing portal","2016-03-23 18:24:53"
60513,"Process Management","Scheduler","mingo","NEW"," ---","Divide by zero in tg_load_down","2016-03-23 18:25:10"
60547,"Process Management","Scheduler","mingo","NEW"," ---","Pressing Alt+SysRq+n when some real-time task is hogging CPU freezes the system","2016-03-23 18:24:20"
60854,"Process Management","Scheduler","mingo","NEW"," ---","divide by zero bug in find_busiest_group","2016-03-23 18:24:59"
62791,"Process Management","Scheduler","mingo","NEW"," ---","Even after setting 'sysctl_sched_child_runs_first'  child is not scheduling first.","2017-08-23 04:13:11"
63801,"Process Management","Scheduler","mingo","NEW"," ---","System Hangs With Kernel Migration Processes Consuming 100% CPU","2017-08-23 04:14:34"
67601,"Process Management","Scheduler","mingo","NEW"," ---","[BISECTED]Regression:  Erratic 3D performance after ""sched/numa: Avoid overloading CPUs...""","2016-03-23 18:25:38"
69621,"Process Management","Scheduler","mingo","NEW"," ---","locked processes","2016-03-23 18:25:44"
70611,"Process Management","Scheduler","mingo","NEW"," ---","Workqueue: events_unbound async_run_entry_fn","2016-03-23 18:26:00"
77041,"Process Management","Scheduler","mingo","NEW"," ---","INFO: rcu_sched self-detected stall on CPU { 1}  (t=5250 jiffies g=52771 c=52770 q=3826)","2016-03-23 18:25:28"
99771,"Process Management","Scheduler","mingo","NEW"," ---","kthread_create_on_node keeps suffering from stalls over and over again","2016-03-23 18:24:47"
100701,"Process Management","Scheduler","mingo","NEW"," ---","BUG: sleeping function called from invalid context at kernel/locking/mutex.c:616","2016-05-13 04:18:36"
102321,"Process Management","Scheduler","mingo","NEW"," ---","deadlock in smp.c at on_each_cpu/smp_call_function_many","2016-03-23 18:24:14"
104111,"Process Management","Scheduler","mingo","NEW"," ---","If CONFIG_NO_HZ_FULL_ALL=y, all user space processes have 0x1 affinity since 4.2.0","2017-08-23 04:55:57"
104891,"Process Management","Scheduler","mingo","NEW"," ---","spread (cfq->max_vruntime - cfq->min_vruntime) is very very large","2017-08-23 04:56:53"
