"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
57401,"Timers","Other","john.stultz","NEW"," ---","linux-3.9: OOPS in cpumask_weight","2013-05-02 15:53:01"
79201,"Timers","Other","john.stultz","NEW"," ---","kernel BUG at timer.c:930 invalid opcode 000 [s1] SMP","2015-10-14 08:33:46"
103821,"Timers","Other","john.stultz","NEW"," ---","Boot hangs at clocksource_done_booting on large configs","2016-05-16 23:13:21"
108991,"Timers","gettimeofday","john.stultz","NEW"," ---","Signed 64 bit overflow in timekeeping_get_ns","2016-02-05 09:20:05"
112521,"Timers","Other","john.stultz","NEW"," ---","monotonic sem_timedwait","2019-05-27 14:42:53"
113111,"Timers","Other","john.stultz","NEW"," ---","softirq called 1000 times per second even when idle","2016-05-03 21:25:04"
114611,"Timers","Other","john.stultz","NEW"," ---","queue_delayed_work_on does not preserve order","2017-03-03 21:24:06"
118901,"Timers","Other","john.stultz","NEW"," ---","TSC calibration error can impact audio playback quality","2016-05-25 05:24:46"
124661,"Timers","Other","john.stultz","NEW"," ---","kernel.timer_migration=1 cause too many Rescheduling interrupts","2016-07-13 05:22:17"
178631,"Timers","Other","john.stultz","NEW"," ---","4.7.7 guest VM hangs when host is woken-up from suspend: exception RIP ktime_get_ts64+175","2016-10-24 10:27:27"
193921,"Timers","Other","john.stultz","NEW"," ---","/proc/timer_list leaks the real pids of the associated processes","2017-02-03 21:51:34"
194715,"Timers","gettimeofday","john.stultz","NEW"," ---","Set fake time for a process","2017-02-26 20:02:26"
197203,"Timers","Other","john.stultz","NEW"," ---","Migration process shows huge CPU time","2017-10-11 23:27:42"
197301,"Timers","Other","john.stultz","NEW"," ---","./include/linux/time.h    Integer Overflow","2017-10-17 21:39:19"
197939,"Timers","Other","john.stultz","NEW"," ---","schedule_delayed_work off by one jiffy","2020-10-13 23:12:28"
197975,"Timers","Other","john.stultz","NEW"," ---","clocksource_watchdog crash 4.13.1","2017-11-24 11:48:38"
199615,"Timers","gettimeofday","john.stultz","NEW"," ---","gettimeofday() goes backward","2018-05-04 08:43:11"
201061,"Timers","Other","john.stultz","NEW"," ---","[bisected][tsc cleanup] 32 bits multiplication overflow on high hz cpu","2018-09-09 12:52:11"
202227,"Timers","Other","john.stultz","NEW"," ---","Kernel 4.20 with more then 1000 Hz (eg. HZ = 10000)","2019-01-11 17:10:46"
203059,"Timers","Other","john.stultz","NEW"," ---","get_seconds() is using the GPL symbol.","2019-03-27 13:38:38"
203183,"Timers","Other","john.stultz","NEW"," ---","tsc marked unstable after entered PC10 on Intel CoffeeLake","2021-12-03 08:37:24"
203461,"Timers","Other","john.stultz","NEW"," ---","Adding time namespace","2019-04-30 18:50:45"
205899,"Timers","Other","john.stultz","NEW"," ---","Jiffies comparison macros are inconsistent","2019-12-18 07:45:25"
207913,"Timers","Other","john.stultz","NEW"," ---","Potential data races in `settimeofday`","2020-05-27 03:25:09"
215458,"Timers","Other","john.stultz","NEW"," ---","tick/sched: iowait_sleeptime in tick_cpu_sched structure is a negative value","2022-01-07 01:36:16"
205435,"Timers","Other","other_other","NEW"," ---","Possible circular locking dependency and a possible rcu stall problem","2019-11-08 06:46:16"
