"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
205219,"Tools","KUnit","tools_kunit","NEW"," ---","tools/testing/kunit/kunit.py run --build_dir='<foo>' fails on ""unclean"" trees","2021-06-24 19:54:10"
205221,"Tools","KUnit","tools_kunit","NEW"," ---","kunit.py should default to --build_dir=.kunit","2019-10-16 21:38:05"
205259,"Tools","KUnit","tools_kunit","NEW"," ---","kunit_tool: use KUnit defconfig by default","2019-10-25 00:00:10"
205261,"Tools","KUnit","tools_kunit","NEW"," ---","Add support for parameterized tests","2019-10-19 01:12:37"
205263,"Tools","KUnit","tools_kunit","NEW"," ---","Add support for external data driven tests","2019-10-19 01:12:37"
205495,"Tools","KUnit","tools_kunit","NEW"," ---","experimental: mocking: KUnit function mocks do not support functions with no parameters","2019-11-11 23:37:38"
205535,"Tools","KUnit","tools_kunit","NEW"," ---","kunit_tool: support running KUnit from make","2019-11-14 21:54:30"
205761,"Tools","KUnit","tools_kunit","NEW"," ---","kunit_tool: add TAP extraction support for non-UML kernels","2019-12-04 00:51:20"
205771,"Tools","KUnit","tools_kunit","NEW"," ---","UML: allyesconfig doesn't build/boot","2019-12-05 22:31:11"
205773,"Tools","KUnit","tools_kunit","NEW"," ---","Documentation: kunit: error in example on usage page","2022-02-07 20:33:13"
93981,"Tools","Other","tools_other","NEW"," ---","[util-linux] login, shells, file paths, and the /usr/bin/ merge","2017-03-12 10:21:46"
102341,"Tools","Other","tools_other","NEW"," ---","rtctest.c","2015-09-09 10:32:46"
105611,"Tools","Other","tools_other","NEW"," ---","crashkernel reservation failed - memory is in use","2015-10-06 23:10:09"
105831,"Tools","Other","tools_other","NEW"," ---","KBD - Add bar to altgr + ""-""","2016-05-16 20:58:47"
108521,"Tools","Other","tools_other","NEW"," ---","[util-linux] column -s X -t fails when there are colour escapes before X","2017-03-12 10:21:49"
116131,"Tools","Other","tools_other","NEW"," ---","""Directory does not exist"" when doing tools perf_install out-of-tree build","2016-04-11 19:34:31"
117261,"Tools","Other","tools_other","NEW"," ---","util-linux's cal gives wrong leap years before 1800","2017-03-12 10:21:51"
118661,"Tools","Other","tools_other","NEW"," ---","kmod : why does modinfo not report built-in modules - please can it be made to do so ?","2016-06-30 10:55:53"
119311,"Tools","Other","tools_other","NEW"," ---","ss command output - columns too wide","2021-03-30 06:56:45"
153161,"Tools","Other","tools_other","NEW"," ---","libcpupower: cpupower_is_cpu_online is not in public API","2018-02-03 12:44:05"
176851,"Tools","Other","tools_other","NEW"," ---","Problem with libpython-version when compilling 'tools/perf'","2016-10-06 17:01:53"
187451,"Tools","Other","tools_other","NEW"," ---","can not trace function (main) with perf-probe","2016-11-11 15:15:40"
189281,"Tools","Other","tools_other","NEW"," ---","Off-by-one errors in turbostat","2016-11-29 01:01:23"
190781,"Tools","Other","tools_other","NEW"," ---","Alphebetize menuconfig options","2017-03-05 03:20:55"
194291,"Tools","Other","tools_other","NEW"," ---","tools/perf/util/bpf-prologue.c gen_prologue_fastpath structure args.value is the only arguments used.","2017-02-07 05:56:34"
194857,"Tools","Other","tools_other","NEW"," ---","building util-linux-2.29.2 doesn't seem to be including libs from <proj>/lib @ link","2017-03-14 02:00:52"
195967,"Tools","Other","tools_other","NEW"," ---","Kmod build final link doesn't honor LDFLAGS","2017-06-02 19:47:40"
196073,"Tools","Other","tools_other","NEW"," ---","when cross-compiling with ARCH=i386 on x64 machine sign-file is generated as x64","2017-06-14 16:49:22"
196797,"Tools","Other","tools_other","NEW"," ---","KGDB on some kernel version couldn't insert break point","2017-08-31 02:00:30"
197471,"Tools","Other","tools_other","NEW"," ---","fdisk does not display c/h/s values correctly","2017-10-27 13:17:30"
198011,"Tools","Other","tools_other","NEW"," ---","[util-linux] look is ignoring locale.","2017-11-28 10:23:04"
198039,"Tools","Other","tools_other","NEW"," ---","[util-linux] look parameter for giving back line numbers.","2017-11-30 07:53:51"
198565,"Tools","Other","tools_other","NEW"," ---","[util-linux] gid lookups with getgrnam_r() should handle an ERANGE error, by retrying with a larger buffer.","2018-01-23 17:33:56"
198869,"Tools","Other","tools_other","NEW"," ---","ip make a stuck list of interfaces","2018-02-22 01:09:50"
198965,"Tools","Other","tools_other","NEW"," ---","Missing depmod is not treated as an error?","2018-03-12 01:42:49"
