,Unnamed: 0,Bug ID,Product,Component,Assignee,Status,Resolution,Summary,Changed
0,0,206487,Power Management,1,bp,NEW, ---,random freezes/crashes with enabled c-state c6 - amd ryzen,2021-10-03 07:27:52
1,1,215367,Power Management,78,david.e.box,NEW, ---,"5.15.10: xps 13 7390 icl not able to enter s0ix, low_power_idle_system_residency_us 0",2022-04-23 01:54:55
2,2,210095,Power Management,78,drivers_video-dri,NEW, ---,amdgpu : hibernate failed on a12-9700p (r7 bristol ridge) - asus x555 q,2021-01-02 11:11:17
3,3,215057,Power Management,114,kristen.c.accardi,NEW, ---,"intel_pstate ""powersave"" governor results in worse performance than generic acpi ""ondemand"" governor",2021-12-09 19:26:00
4,4,215554,Power Management,114,kristen.c.accardi,NEW, ---,cannot use energy_performance_preference without hwp,2022-03-21 00:31:46
5,5,199909,Power Management,115,lenb,NEW, ---,"cstates: system freeze, disable deep c-state improves - core i7-7500u",2021-02-15 21:04:33
6,6,207733,Power Management,116,lenb,NEW, ---,can't disable config_cpu_idle without losing frequency governor control on ryzen,2020-05-14 06:17:15
7,7,208551,Power Management,116,lenb,NEW, ---,random full system freezes with amd ryzen 5 1600,2020-08-07 15:38:08
8,8,215707,Power Management,115,lenb,NEW, ---,linux tends to hard freeze after idling,2022-03-21 15:40:38
9,9,198637,Power Management,118,linux-pm,NEW, ---,cpuinfo_cur_freq differs from scaling_cur_freq on an amd fx-8320e,2018-02-01 17:20:09
10,10,202701,Power Management,118,linux-pm,NEW, ---,deadlock scenario in cgroup/cpuset and cpuhotplug,2019-03-25 04:39:38
11,11,203063,Power Management,118,linux-pm,NEW, ---,laptop cpu clocked down until disconnecting and reconnecting power cord - amd ryzen 2700,2019-04-17 16:16:03
12,12,207365,Power Management,118,linux-pm,NEW, ---,related_cpus truncated - threadripper 1950x,2020-06-22 13:29:59
13,13,213115,Power Management,118,linux-pm,NEW, ---,"unable to set the lowest frequency of amd cpus via cpupower - while kernel 5.12.4 (or 5.3.18) is booted with ""nosmt""",2021-05-17 21:20:10
14,14,215135,Power Management,118,linux-pm,NEW, ---,proposed cpufreq driver amd-pstate regresses wrt acpi-cpufreq on some amd epyc zen3,2022-01-18 09:54:10
15,15,215574,Power Management,118,linux-pm,NEW, ---,frequency boost disabled by default on asus pn50 - ryzen 7 4800u,2022-04-18 14:20:15
16,16,215714,Power Management,118,linux-pm,NEW, ---,a huge unnecessary power consumption with config_x86_acpi_cpufreq and ondemand governor,2022-03-21 13:07:54
17,17,215729,Power Management,118,linux-pm,NEW, ---,amd-pstate driver has a much higher idle power consumption for a desktop zen 3 cpu,2022-05-09 08:38:00
18,18,215800,Power Management,118,linux-pm,NEW, ---,amd-pstate does not allow to set arbitrary maximum cpu frequency above 2200mhz for a desktop zen 3 cpu,2022-04-14 03:05:22
19,19,215801,Power Management,118,linux-pm,NEW, ---,rmmod'ing amd-pstate doesn't restore acpi-cpufreq,2022-04-11 16:22:44
20,20,215938,Power Management,118,linux-pm,NEW, ---,amd-pstate ignoring scaling_max_freq after waking from suspend,2022-05-04 13:46:04
21,21,119341,Power Management,134,rjw,NEW, ---,dedicated wakeirqs may not work on omaps for the first resume,2016-06-02 20:37:49
22,22,191491,Power Management,78,rjw,NEW, ---,resume from disk: lenovo thinkpad e545 freezes - amd a10-5750m,2020-06-15 02:47:25
23,23,202993,Power Management,1,rjw,NEW, ---,"ac connection not recognized, battery not draining - acer predator helios 500, ryzen 7",2020-02-13 15:19:15
24,24,203695,Power Management,78,rjw,NEW, ---,"suspend stopped working after kernel upgrade - hp 255 g6 5jk72es, amd a9-9425 radeon r5",2020-06-15 03:03:26
25,25,207181,Power Management,78,rjw,NEW, ---,suspend/resume fails on hp envy x360 with ryzen 3500u,2021-01-19 10:05:43
26,26,207893,Power Management,78,rjw,NEW, ---,s0ix: unable to achieve s0ix on dell xps 13 9365,2021-12-18 14:24:45
27,27,208731,Power Management,78,rjw,NEW, ---,s2idle freeze loops in and out of suspend/resume_noirq at least twice,2021-03-21 14:18:46
28,28,210899,Power Management,78,rjw,NEW, ---,suspend not working since kernel 5.8 - ryzen 7 lenovo flex 14,2021-12-15 05:51:34
