"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
205799,"Backports project","Backports","backports","NEW"," ---","kernel panic always in skb_get_hash_perturb entering runlevel 2","2019-12-17 01:54:38"
206855,"Backports project","Backports","backports","NEW"," ---","Strange issue... Kernel hangs since 5.4.19 and not when i disable mic in the BIOS","2020-03-15 13:54:40"
206857,"Backports project","Backports","backports","NEW"," ---","Unable load drivers for AX200NGW WiFi module, don't see any wifi adapter","2021-03-04 08:32:09"
206907,"Backports project","Backports","backports","NEW"," ---","backport_iwlwifi 8324 Can't be compiled after make clean","2020-03-22 02:41:49"
208441,"Backports project","Backports","backports","NEW"," ---","backports-iwlwifi: ""compat: Unknown symbol hash_algo_name"" when compiling master","2020-07-06 09:53:19"
210845,"Backports project","Backports","backports","NEW"," ---","QCA9558 failed init in calibration","2020-12-22 09:02:59"
204573,"Backports project","Backports","backports","NEEDINFO"," ---","kernel panic:""kernel BUG at /home/issuser/frm_build/kernel/bxt/include/linux/scatterlist.h:140!""","2019-11-19 08:54:45"
55971,"Backports project","Backports","andy","CLOSED","CODE_FIX","redefined error in 2.6.32-279.22.1.el6.x86_64 kernel","2017-02-09 16:34:55"
51671,"Backports project","Backports","backports","CLOSED","CODE_FIX","ALX driver unusable on new kernel","2013-07-30 14:10:06"
51751,"Backports project","Backports","backports","CLOSED","CODE_FIX","debug build of ath9k fails.","2013-11-24 19:24:17"
51851,"Backports project","Backports","backports","CLOSED","WILL_NOT_FIX","[TRIVIAL]Unable to use alx driver without CONFIG_MDIO","2013-11-24 19:30:03"
59041,"Backports project","Backports","backports","CLOSED","CODE_FIX","[PATCH 001/001] Compiling iwlwifi or alx against 3.4.47 kernel gives redefinition error","2015-11-22 07:29:18"
63381,"Backports project","Backports","backports","CLOSED","OBSOLETE","cpumask.h error","2017-02-09 16:32:50"
64091,"Backports project","Backports","backports","CLOSED","OBSOLETE","backports build error","2017-02-09 16:35:05"
65031,"Backports project","Backports","backports","CLOSED","WILL_NOT_FIX","iwlwif driver crahes while connecting from wifi display source","2013-11-17 08:57:05"
65881,"Backports project","Backports","backports","CLOSED","PATCH_ALREADY_AVAILABLE","errors compiling after make defconfig-alx","2017-02-09 16:35:05"
66601,"Backports project","Backports","backports","CLOSED","CODE_FIX","[PATCH] missing of.h include in compat-*.c","2017-02-09 16:34:54"
71501,"Backports project","Backports","backports","CLOSED","INVALID","Qualcamm Atheros AW-NE771 remains disabled","2017-02-09 16:35:06"
73861,"Backports project","Backports","backports","CLOSED","OBSOLETE","AWUS 036NHR v.2 8188RU cant associate and cant capture handshake.","2017-02-09 16:35:05"
74661,"Backports project","Backports","backports","CLOSED","OBSOLETE","Backports did not support properly RTL8188RU","2017-02-09 16:34:55"
81151,"Backports project","Backports","backports","CLOSED","OBSOLETE","backports installs /etc/depmod.conf to prefer updates/ over kernel/ - should be /etc/depmod.d/updates.conf","2017-02-09 16:34:55"
90491,"Backports project","Backports","backports","CLOSED","OBSOLETE","filter timeout warning during channel scanning(DVB_T EyeTV_DTT_0fd9_003f)","2017-02-09 16:34:56"
94131,"Backports project","Backports","backports","CLOSED","CODE_FIX","Unable to do make menuconfig in backports-3.18.1-1","2017-02-09 17:07:43"
94811,"Backports project","Backports","backports","CLOSED","OBSOLETE","Backport kernel integration fails","2017-02-09 16:35:06"
95411,"Backports project","Backports","backports","CLOSED","INVALID","hjgjgggj","2015-04-01 15:32:54"
96581,"Backports project","Backports","backports","CLOSED","OBSOLETE","A kernel built from >gentoo-sources-3.10.63, not starts. The  kernel 3.10.63 works fine. sys-kernel/gentoo-sources-3.10.73 - ?","2017-02-09 16:35:05"
99361,"Backports project","Backports","backports","CLOSED","OBSOLETE","0001-enable-backports-built-in.patch fails to apply when using --integrate","2017-02-10 14:17:27"
105921,"Backports project","Backports","backports","CLOSED","INVALID","Backport releases GPG public key unavailable","2017-02-09 16:34:55"
107461,"Backports project","Backports","backports","CLOSED","OBSOLETE","clients can not connect to the AP,AP is created over linux4.2.5 with ath9k wireless card","2017-02-09 16:35:05"
111401,"Backports project","Backports","backports","CLOSED","INVALID","Missing country on atheros driver regd_common.h and regd.h","2017-02-09 16:35:06"
120851,"Backports project","Backports","backports","CLOSED","INVALID","spam","2016-06-22 19:41:11"
139321,"Backports project","Backports","backports","CLOSED","INVALID","Warning in mac80211 driver from backports-4.4.2-1","2017-02-09 16:37:31"
195245,"Backports project","Backports","backports","CLOSED","WILL_NOT_FIX","Backports-4.4.2 implict declarations: scatterwalk_ffwd, aead_alg_instance, aead_crypto_instance","2019-11-19 08:58:19"
196123,"Backports project","Backports","backports","CLOSED","WILL_NOT_FIX","Backports Compatibility with RHEL 6.7-6.9","2019-11-19 08:57:10"
196655,"Backports project","Backports","backports","CLOSED","INVALID","Summary","2020-05-22 15:46:35"
197777,"Backports project","Backports","backports","CLOSED","INVALID","Kernel bug Yes verification","2017-11-06 07:40:14"
203007,"Backports project","Backports","backports","CLOSED","INSUFFICIENT_DATA","drivers arenot proper","2019-11-19 08:54:05"
205573,"Backports project","Backports","backports","CLOSED","WILL_NOT_FIX","iwlwifi backport breaks realtek and ralink drivers","2019-11-20 08:06:52"
207529,"Backports project","Backports","backports","CLOSED","INVALID","firewire load error wifi ax 200","2020-05-07 08:39:34"
