"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
190841,"File System","SysFS","akpm","NEW"," ---","[REGRESSION] Intensive Memory CGroup removal leads to high load average 10+","2017-12-26 20:40:35"
42965,"File System","Other","alan","NEW"," ---","Reading /proc/.../map may result in deadlock","2016-03-20 10:14:06"
87951,"File System","Other","alan","NEW"," ---","isofs: unbound recursion when processing 'CE' entry","2015-09-03 17:27:48"
62001,"File System","NFS","anna.schumaker","NEW"," ---","WARNING: CPU: 2 PID: 24776 at /build/buildd/linux-3.11.0/fs/nfs/idmap.c:660 nfs_idmap_legacy_upcall+0x195/0x1b0 [nfsv4]()","2022-02-25 11:40:17"
60632,"File System","Other","dedekind1","NEW"," ---","please solve the scalability issue in ubi attachment time. below code is example of attach.c file","2016-03-20 10:10:49"
120211,"File System","NFS","dhowells","NEW"," ---","BUG: unable to handle kernel NULL pointer; IP: [<ffffffffa0458aee>] cachefiles_mark_object_inactive+0x5e/0xb0 [cachefiles]","2022-02-25 11:41:32"
200145,"File System","NFS","dhowells","NEW"," ---","kernel: FS-Cache: Duplicate cookie detected","2022-04-14 11:02:06"
200159,"File System","NFS","dhowells","NEW"," ---","kernel BUG at fs/cachefiles/xattr.c:138!","2018-06-22 02:34:08"
66561,"File System","btrfs","dsterba","NEW"," ---","failure to allocate memory during btrfs send","2013-12-18 15:01:41"
67331,"File System","btrfs","dsterba","NEW"," ---","BUG_ON(failrec->this_mirror != failed_mirror) on failed compressed extent read","2013-12-19 00:35:57"
89091,"File System","btrfs","dsterba","NEW"," ---","btrfs subvolume delete should ask for confirmation before deleting","2016-03-20 11:21:00"
60563,"File System","NFS","eparis","NEW"," ---","FANOTIFY: On root squash NFS mounted file systems, unable mark directories or read from file descriptors without dropping privileges","2022-02-25 11:55:32"
55791,"File System","v9fs","ericvh","NEW"," ---","9p: syscall hangs after network error on mounted fs","2021-05-21 21:59:43"
195663,"File System","v9fs","ericvh","NEW"," ---","Not all files from a 9P mounted directory/subdirectory are shown","2018-09-05 07:05:34"
195715,"File System","v9fs","ericvh","NEW"," ---","fcntl F_GETLK doesn't return correct info from the server","2018-09-05 07:12:28"
213295,"File System","v9fs","ericvh","NEW"," ---","9p: WARNING: CPU: 0 PID: 1281 at fs/inode.c:304 drop_nlink+0x23/0x30","2021-06-07 13:50:47"
200219,"File System","f2fs","filesystem_f2fs","NEW"," ---","Buffer overrun when reading inline data in f2fs","2019-07-24 02:54:13"
200773,"File System","f2fs","filesystem_f2fs","NEW"," ---","An issue was discovered in the Linux kernel through 4.17.3. There is a NULL pointer dereference in get_checkpoint_version() in fs/f2fs/checkpoint.c when mounting crafted f2fs image.","2018-09-21 01:44:32"
201911,"File System","f2fs","filesystem_f2fs","NEW"," ---","High frequency of gc cause application database corrupt","2018-12-13 03:42:23"
205181,"File System","f2fs","filesystem_f2fs","NEW"," ---","kernel panic when accessing btrfs root device with f2fs in kernel","2019-10-31 18:14:11"
194261,"File System","XFS","filesystem_xfs","NEW"," ---","fs/xfs/libxfs/xfs_ialloc.c xfs_dialloc return/fault return error","2017-02-07 05:41:45"
195281,"File System","XFS","filesystem_xfs","NEW"," ---","XFS oops","2017-04-07 21:46:56"
196259,"File System","XFS","filesystem_xfs","NEW"," ---","XFS deadlock (Longterm Kernel 4.4.73)","2020-05-11 23:34:52"
196449,"File System","XFS","filesystem_xfs","NEW"," ---","ASSERTion failed in xfs_ag_resv_init in fs/xfs/libxfs/xfs_ag_resv.c","2017-07-23 17:21:32"
197053,"File System","XFS","filesystem_xfs","NEW"," ---","xfsprogs-4.13.1/repair/prefetch.c:487]: (style) Array index 'num' is used before limits check.","2017-09-27 11:09:27"
197101,"File System","XFS","filesystem_xfs","NEW"," ---","Lockup between xfs_buf_lock and xfsaild","2017-10-01 21:34:54"
198009,"File System","XFS","filesystem_xfs","NEW"," ---","write.c:494: bad if test ?","2018-04-18 02:40:33"
199119,"File System","XFS","filesystem_xfs","NEW"," ---","Replacing XFS extended attribute with longer value causes filesystem corruption","2018-04-17 20:14:14"
199221,"File System","XFS","filesystem_xfs","NEW"," ---","xfs_admin/xfs_db uses quotation around label in new label","2018-04-17 21:22:57"
199825,"File System","XFS","filesystem_xfs","NEW"," ---","XFS: Assertion failed: XFS_FORCED_SHUTDOWN(ip->i_mount) || ip->i_delayed_blks == 0, file: fs/xfs/xfs_super.c, line: 984","2018-05-25 04:07:54"
199899,"File System","XFS","filesystem_xfs","NEW"," ---","Mounting broken XFS partition causes infinite dmesg flood (system still responds)","2018-07-15 07:52:48"
199915,"File System","XFS","filesystem_xfs","NEW"," ---","NULL pointer dereference in xfs_bmap_extents_to_btree() when mounting and operating a crafted image","2019-01-10 23:06:34"
199969,"File System","XFS","filesystem_xfs","NEW"," ---","NULL pointer dereference in xfs_trans_binval() when mounting and operating a crafted xfs image","2018-06-07 21:04:52"
200027,"File System","XFS","filesystem_xfs","NEW"," ---","Kernel hangs when mouting a crafted xfs image","2018-06-11 19:33:57"
200047,"File System","XFS","filesystem_xfs","NEW"," ---","slab-out-of-bounds in xlog_recover_do_reg_buffer() when mounting a crafted xfs image","2018-08-11 00:51:49"
200049,"File System","XFS","filesystem_xfs","NEW"," ---","Integer overflow due to missing sanitary check in _xfs_buf_map_pages() when mounting a crafted xfs image","2018-06-12 23:08:05"
200051,"File System","XFS","filesystem_xfs","NEW"," ---","NULL pointer dereference in xlog_recover_add_to_cont_trans() when mounting a crafted xfs image","2018-06-12 23:13:03"
200053,"File System","XFS","filesystem_xfs","NEW"," ---","slab-out-of-bounds in xfs_bmbt_to_bmdr() when mounting a crafted xfs image","2018-06-12 23:17:03"
200063,"File System","XFS","filesystem_xfs","NEW"," ---","XFS corruption: mismatch between format (2) and size (0) in symlink","2018-11-12 22:08:22"
200119,"File System","XFS","filesystem_xfs","NEW"," ---","Kernel oops at NULL pointer when performing readlink on a fuzzed xfs image","2018-06-18 03:46:37"
200127,"File System","XFS","filesystem_xfs","NEW"," ---","Kernel crashes in xfs_alloc_get_freelist() when writing to a corrupted xfs image","2018-06-18 20:04:29"
200137,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/485] XFS: Assertion failed: (irec->br_startoff & ~XFS_IEXT_STARTOFF_MASK) == 0, file: fs/xfs/libxfs/xfs_iext_tree.c, line: 68","2018-06-19 18:46:40"
200311,"File System","XFS","filesystem_xfs","NEW"," ---","xfsprogs fails to install when user group has space","2018-06-28 02:56:57"
200923,"File System","XFS","filesystem_xfs","NEW"," ---","out-of-bounds access in xfs_iext_last()","2018-08-24 13:19:40"
200981,"File System","XFS","filesystem_xfs","NEW"," ---","hypervisor fs hangs at heavy write activity on VM (kvm, qcow2 image) having a reflink disk copy","2018-09-06 16:52:24"
201089,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/417]: XFS corruption attribute entry #0 in attr block 0, inode 674 is INCOMPLETE","2018-09-11 08:12:42"
201259,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests shared/010]: maybe pagecache contents is mutated after cycle mount","2018-11-06 03:14:01"
201261,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests shared/010]: WARNING: possible circular locking dependency detected","2018-09-28 06:18:40"
201453,"File System","XFS","filesystem_xfs","NEW"," ---","Bug 1640090 - [xfstests xfs/490]: xfs_db print a bad (negative number) as agi freecount","2018-10-24 20:10:39"
201549,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests xfs/019]: mkfs.xfs: warning - iflush_int failed (-117)","2018-10-28 14:20:52"
201577,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/070]: XFS corruption and Oops when setxattr on 64k blocksize XFS","2020-06-10 03:38:24"
201793,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/299] XFS corruption found: sb_fdblocks 7302443, counted 7302451","2018-11-27 03:33:39"
201819,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/299]: WARNING: CPU: 15 PID: 23147 at kernel/workqueue.c:4170 destroy_workqueue+0x118/0x590","2019-08-27 10:05:43"
201897,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/482]: filesystem corruption after log replay","2018-12-05 10:10:34"
202053,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/464]: XFS corruption and Assertion failed: 0, file: fs/xfs/xfs_super.c, line: 985","2019-01-08 14:57:07"
202077,"File System","XFS","filesystem_xfs","NEW"," ---","xfs transaction log reservation overruns on 4.14.67","2019-01-02 16:54:54"
202349,"File System","XFS","filesystem_xfs","NEW"," ---","Extreme desktop freezes during sustained write operations with XFS","2020-03-12 16:12:22"
202441,"File System","XFS","filesystem_xfs","NEW"," ---","Possibly vfs cache related replicable xfs regression since 4.19.0  on sata hdd:s","2021-11-23 15:43:58"
203329,"File System","XFS","filesystem_xfs","NEW"," ---","WARNING at kernel/locking/lockdep.c: lockdep_register_key() and lockdep_unregister_key()","2019-04-15 10:13:47"
203655,"File System","XFS","filesystem_xfs","NEW"," ---","XFS: Assertion failed: 0, xfs_log_recover.c, line: 551","2019-05-20 23:14:58"
203887,"File System","XFS","filesystem_xfs","NEW"," ---","CGroup writeback is not supported by `xfs` filesystem leading to errors when using containers.","2020-05-11 23:30:34"
203947,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/475]: general protection fault: 0000 [#1] RIP: 0010:xfs_setfilesize_ioend+0xb1/0x220 [xfs]","2019-07-12 13:18:09"
203999,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests xfs/442] kernel BUG at mm/swap_state.c:170! RIP: 0010:__delete_from_swap_cache+0x45a/0x6c0","2019-06-26 22:21:13"
204031,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/475]: general protection fault: 0000 [#1] RIP: 0010:xfs_bmapi_read+0x311/0xb00 [xfs]","2019-08-08 12:59:14"
204049,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/388]: XFS: Assertion failed: ip->i_d.di_format != XFS_DINODE_FMT_BTREE || ip->i_d.di_nextents > XFS_IFORK_MAXEXT(ip, XFS_DATA_FORK), file: fs/xfs/xfs_inode.c, line: 3646","2019-07-19 21:45:39"
204107,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests xfs/442]: xfs_db process hang on ppc64le","2019-07-09 09:23:42"
204129,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/127]: fsx find corruption on xfs","2019-08-02 04:26:11"
204409,"File System","XFS","filesystem_xfs","NEW"," ---","BUG: KASAN: use-after-free in do_raw_spin_lock","2019-08-02 04:59:01"
204713,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/070] XFS: Assertion failed: ichdr.freemap[i].size < args->geo->blksize, file: fs/xfs/libxfs/xfs_attr_leaf.c, line: 2006","2019-08-27 09:27:41"
204997,"File System","XFS","filesystem_xfs","NEW"," ---","fsck.xfs prints a vague message ""XFS file system"" when skipping a boot time check","2019-09-25 17:51:35"
205465,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/475]: general protection fault: 0000 [#1] SMP KASAN PTI,  RIP: 0010:iter_file_splice_write+0x63f/0xa90","2019-12-31 03:40:54"
205467,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/475]: XFS: Assertion failed: ip->i_d.di_format != XFS_DINODE_FMT_BTREE || ip->i_d.di_nextents > XFS_IFORK_MAXEXT(ip, XFS_DATA_FORK), file: fs/xfs/xfs_inode.c, line: 3652","2019-11-08 06:51:41"
205703,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/461]: BUG: KASAN: use-after-free in iomap_finish_ioend+0x58c/0x5c0","2019-12-04 15:37:24"
205833,"File System","XFS","filesystem_xfs","NEW"," ---","fsfreeze blocks close(fd) on xfs sometimes","2019-12-17 12:03:14"
206027,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/475]: WARNING: CPU: 4 PID: 32186 at fs/iomap/buffered-io.c:1067 iomap_page_mkwrite_actor+0xd9/0x130","2020-01-02 18:12:04"
206397,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/475] XFS: Assertion failed: iclog->ic_state == XLOG_STATE_ACTIVE, file: fs/xfs/xfs_log.c, line: 572","2020-02-14 18:18:44"
206399,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests xfs/433] BUG: KASAN: use-after-free in xfs_attr3_node_inactive+0x6c8/0x7b0 [xfs]","2020-02-04 06:38:31"
206429,"File System","XFS","filesystem_xfs","NEW"," ---","xfs_admin can't print both label and UUID for mounted filesystems","2020-02-05 15:39:51"
206869,"File System","XFS","filesystem_xfs","NEW"," ---","[xfstests generic/587]: quota mismatch","2020-03-18 03:39:15"
207053,"File System","XFS","filesystem_xfs","NEW"," ---","fsfreeze deadlock on XFS (the FIFREEZE ioctl and subsequent FITHAW hang indefinitely)","2021-10-25 21:18:14"
207715,"File System","XFS","filesystem_xfs","NEW"," ---","xfs: data race on lip->li_lsn in xfs_trans_ail_update_bulk()","2020-05-13 08:19:25"
207817,"File System","XFS","filesystem_xfs","NEW"," ---","kworker using a lots of cpu","2020-05-21 17:10:09"
208805,"File System","XFS","filesystem_xfs","NEW"," ---","XFS: iozone possible memory allocation deadlock","2020-08-26 15:20:05"
208827,"File System","XFS","filesystem_xfs","NEW"," ---","[fio io_uring] io_uring write data crc32c verify failed","2020-08-12 15:26:55"
208907,"File System","XFS","filesystem_xfs","NEW"," ---","[fstests generic/074 on xfs]: 5.7.10 fails with a hung task on","2020-08-14 22:41:14"
209243,"File System","XFS","filesystem_xfs","NEW"," ---","[regression] fsx IO_URING reading get BAD DATA","2020-09-14 19:49:20"
