"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
197953,"Platform Specific/Hardware","x86-64","andy.shevchenko","NEW"," ---","Interrupt storm on ACER Chromebook CYAN","2018-01-09 00:04:10"
69861,"Platform Specific/Hardware","S390","com.ibm","NEW"," ---","drivers/s390/block/dcssblk.c: 4 * bad array index ?","2014-02-03 11:51:38"
208193,"Platform Specific/Hardware","S390","com.ibm","NEW"," ---","Invalid hard register usage between output operands","2020-11-06 01:30:06"
77931,"Platform Specific/Hardware","ARM","drivers_network","NEW"," ---","mvneta no more detected on RN104 mvebu armada-370 SOC","2019-12-07 11:14:12"
196311,"Platform Specific/Hardware","x86-64","drivers_network","NEW"," ---","Enabling Atom PMC platform clocks breaks r8169 driver (with system lockup)","2017-07-10 08:47:50"
111681,"Platform Specific/Hardware","x86-64","drivers_platform_x86","NEW"," ---","hp_accel.c malfunctions on HP Pavilion 13 x360 s128nr","2020-04-30 01:25:47"
215825,"Platform Specific/Hardware","x86-64","drivers_platform_x86","NEW"," ---","Dell Precision 7750 - can't change keyboard backlight timeout and brightness","2022-04-11 14:06:10"
208737,"Platform Specific/Hardware","x86-64","drivers_video-other","NEW"," ---","No graphical output with 5.7.x","2020-11-04 09:21:44"
153081,"Platform Specific/Hardware","x86-64","efi","NEW"," ---","CRASH kernel 4.7.3/stable + Xen on UEFI boot OOPS.  patch ID'd & tested","2016-09-09 19:12:14"
103731,"Platform Specific/Hardware","x86-64","fs_ext4","NEW"," ---","timeout on SSD and kernel 4.1.3 and >","2016-11-29 14:41:54"
52001,"Platform Specific/Hardware","UML","jdike","NEW"," ---","[BISECTED]One of the UML processes dereferences a NULL pointer and core dumps","2013-11-19 16:51:19"
65041,"Platform Specific/Hardware","UML","jdike","NEW"," ---","COW filesystem does not work (Linux 3.4+)","2013-11-15 06:54:39"
109091,"Platform Specific/Hardware","IA-64","jdike","NEW"," ---","Lenovo Z510 hang on random occasions after resume from hibernation","2017-03-06 20:15:57"
190051,"Platform Specific/Hardware","UML","jdike","NEW"," ---","Cannot wake up from screenlock/blank on XPS 2016 9360","2017-01-09 14:45:15"
215522,"Platform Specific/Hardware","UML","jdike","NEW"," ---","virt-pci: irq chip not set","2022-01-22 20:29:26"
210487,"Platform Specific/Hardware","x86-64","kristen.c.accardi","NEW"," ---","CPU frequency stuck at maximum due to interrupt storm when laptop lid is closed (sometimes)","2021-08-01 00:33:45"
42653,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","Network stall on at91sam9263 caused in arch_idle","2014-06-26 04:49:02"
42680,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","uImage compressed kernel will not boot on many Kirkwood devices","2012-09-06 19:24:10"
50321,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","misccr in s3c64xx_spi0_cfg_gpio function is wrong for smdk2443","2012-11-12 07:05:46"
52541,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","linux-3.8-rc2/arch/arm/mach-dove/common.c:105: possible missing code for gephy ?","2015-01-13 07:44:41"
56141,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","masking of mixed edge and level sensitive GPIO interrupts for arm orion platform corrupted","2013-04-03 08:00:20"
56801,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","Can't set r0 using ptrace after the tracee calls exec","2013-04-18 13:25:12"
60553,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","kernel/scripts/kallsyms.c has bug when symbol __stop___modver and _etext have the same address","2014-04-17 20:07:30"
60823,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","Dreamplug DT kernel do not boot on older Dreamplugs","2013-08-31 23:46:43"
61221,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","[PATCH]rtc-v3020","2013-11-13 15:02:37"
68881,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","Setting the L1 cache line size larger than it actually is should be safe. In this view, flush_pfn_alias function has bug.","2014-01-17 09:50:40"
70501,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","incorrect emulation of VFP multiply accumulate instructions","2014-02-17 12:06:04"
72271,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","GPIO output inverted","2014-03-17 12:38:39"
73451,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","wrong CPU mask on realview-pb-a8","2014-04-03 10:33:10"
76061,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","Atmel SAMA5D3X CAN driver clock enable not working","2016-05-12 06:15:14"
79781,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","mach-s3c24xx/mach-osiris-dvs.c:81: possible bad test ?","2014-07-10 12:48:30"
81541,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","BeagleBone Black (AM335x MPU). Random reboot on ac power.","2014-08-10 08:16:27"
93371,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","gic_set_affinity can just set GIC to send interrupt to 1 CPU","2015-11-09 07:58:30"
94621,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","imx233","2015-03-10 06:23:08"
98531,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","Resolve the ""FIXME"" in the function __dma_page_cpu_to_dev() in the arm platform","2016-02-22 11:01:59"
98731,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","pci-imx6: kernel lockup after a reboot due to panic()","2015-05-21 06:34:03"
99151,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","NAND read timeout MVEBU","2016-08-21 09:08:15"
100531,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","sun4i_mmc crash at boot","2015-06-27 11:33:31"
102361,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","deb-pkg doesn't install the dtbs","2015-08-05 21:16:01"
107281,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","Failed to load sun4i-ss: probe of 1c15000.crypto-engine failed with error -22","2015-11-17 07:22:49"
107621,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","Cubieboard: OOPS ""Unable to handle kernel paging request"" in musb during shutdown.","2016-03-20 17:49:48"
107631,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","Allwinner A1x/A2x: DTS: please add proper frequency-voltage pairs to DTS files.","2015-11-09 21:28:23"
110971,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","When I define DEBUG in the top of arch/arm/boot/compressed/head.S, there will be a compile error.","2016-01-18 11:48:30"
111951,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","dead-lock in __schedule with IRQs disabled","2016-02-05 09:15:16"
116691,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","[DTS] [DTSI] [Thermal] major bug in thermal data of Allwinner A10/A13","2016-04-19 11:11:28"
117621,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","Support for unaligned watchpoints","2016-05-26 15:42:49"
118961,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","Kernel reports watchpoints of size zero","2016-05-25 15:33:16"
121041,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","TFP410 may be registered by multiple modules which lead to errors","2016-06-27 12:48:06"
121591,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","GPMC_CONFIG4_OEEXTRADELAY instead of GPMC_CONFIG4_WEEXTRADELAY in gpmc.c (3.14) or omap-gpmc.c (4.6)","2016-07-07 11:27:57"
178371,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","Nokia N900 (omap3-n900) with ""VDD1: ramp_delay not set"" string in printk","2016-11-06 19:24:23"
187931,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","adds ACPI support for the HiSilicon Hip05/Hip06/Hip07 SoC","2016-11-17 11:40:04"
187941,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","adds ACPI support for the HiSilicon Hip05/Hip06/Hip07 SoC PCIe controllers","2016-11-17 11:53:41"
193801,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","Any PCIe Card on Gigabyte MP30-AR0 (X-Gene1) Results in Kernel Panic at Driver Load Time","2017-02-01 21:28:04"
194919,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","Bad MINSIGSTKSZ check in compat_sigaltstack().","2017-03-18 13:42:44"
194925,"Platform Specific/Hardware","ARM","linux-arm-kernel","NEW"," ---","syscall_trace_exit skipped when system call skipped","2017-03-19 09:24:50"
