"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
179891,"SCSI Drivers","QLOGIC QLA2XXX","drivers_other","NEW"," ---","Kernel oops/panic trying to unload qla2xxx driver","2016-11-06 19:21:37"
203635,"SCSI Drivers","Other","drivers_other","NEW"," ---","SCSI Disk driver does not support obsolete hard-disk drives that lack the Synchronize Cache command","2019-12-09 10:11:07"
209177,"SCSI Drivers","Other","drivers_other","NEW"," ---","mpt2sas_cm0: failure at drivers/scsi/mpt3sas/mpt3sas_scsih.c:10791/_scsih_probe()!","2022-01-03 00:42:43"
114021,"SCSI Drivers","Other","io_other","NEW"," ---","Regression in mpt3sas driver","2016-03-17 18:35:05"
192481,"SCSI Drivers","Other","io_other","NEW"," ---","[Samsung NP530U3C-A02CL] sd 6:0:0:0: [sdc] No Caching mode page found","2017-01-12 19:48:55"
61731,"SCSI Drivers","DC390","linux-scsi","NEW"," ---","IRQ error while initializing.","2013-09-20 09:38:16"
91711,"SCSI Drivers","Other","linux-scsi","NEW"," ---","3w-9xxx: DMA-API: device driver tries to free DMA memory it has not allocated","2016-03-18 18:59:59"
107221,"SCSI Drivers","DC390","linux-scsi","NEW"," ---","file not opened","2015-11-05 04:15:56"
40932,"SCSI Drivers","AACRAID","scsi_drivers-aacraid","NEW"," ---","Delay during loading aacraid module","2012-05-12 13:52:51"
78281,"SCSI Drivers","AACRAID","scsi_drivers-aacraid","NEW"," ---","aacraid: swiotlb buffer is full (sz: 255 bytes)","2014-06-18 22:57:03"
116751,"SCSI Drivers","AACRAID","scsi_drivers-aacraid","NEW"," ---","Double-Fetch bug in Linux-4.5/drivers/scsi/aacraid/commctrl.c","2016-04-25 16:23:01"
151661,"SCSI Drivers","AACRAID","scsi_drivers-aacraid","NEW"," ---","Adaptec 3405 3805 prints ""AAC: Host adapter dead -1"" every 10 seconds but works fine anyway","2018-01-08 17:44:21"
196707,"SCSI Drivers","AACRAID","scsi_drivers-aacraid","NEW"," ---","Adaptec ICP9087MA: aacraid prints ""AAC: Host adapter is dead (or got a PCI error) -1"" twice times around errors of aacraid and the kernel crashes after starting the ""Kernel Device Manager""","2017-09-04 21:05:34"
204173,"SCSI Drivers","AACRAID","scsi_drivers-aacraid","NEW"," ---","HDDs not detected as generic scsi through AACRAID","2019-07-14 11:28:31"
204769,"SCSI Drivers","AACRAID","scsi_drivers-aacraid","NEW"," ---","SCSI devices missing for disks attached to controller","2021-04-18 00:22:34"
208185,"SCSI Drivers","AACRAID","scsi_drivers-aacraid","NEW"," ---","aacraid won't init Adaptec 5405 card most times, driver is unstable","2020-06-15 12:47:33"
106261,"SCSI Drivers","AIC94XX","scsi_drivers-aic94xx","NEW"," ---","there exists a wrong return value of function asd_map_memio() when ioremap_nocache() fails","2015-10-19 14:23:56"
201609,"SCSI Drivers","AIC94XX","scsi_drivers-aic94xx","NEW"," ---","sysfs duplicate filename on driver loading Adaptec AIC-9410W","2019-01-30 15:46:30"
34422,"SCSI Drivers","Other","scsi_drivers-other","NEW"," ---","Error-valued pointers used in pointer arithmetic in SCSI","2014-06-25 15:50:54"
42939,"SCSI Drivers","Other","scsi_drivers-other","NEW"," ---","hv_storvsc - write cache enabled by default and cannot be disabled","2012-03-19 19:36:47"
