"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
100751,"v4l-dvb","dvb-frontend","drivers-i2c","NEW"," ---","tda18212 tuner fails with errno -22","2015-07-09 08:25:42"
58051,"v4l-dvb","dvb-usb","drivers_other","NEW"," ---","Error while compiling kernel 3.10-rc1 - drivers/built-in.o: In function dvb_init","2013-11-13 20:34:59"
79121,"v4l-dvb","dvb-other","drivers_other","NEW"," ---","DVB-T Freecom 14aa:0160 don't work","2014-06-30 16:17:57"
100251,"v4l-dvb","dvb-other","drivers_other","NEW"," ---","cx23885 risc op code error DVBSky T982","2015-06-21 16:25:53"
104961,"v4l-dvb","dvb-other","drivers_other","NEW"," ---","SAA7164 driver crash || ATSC card is not functional","2015-10-08 22:27:54"
199777,"v4l-dvb","dvb-usb","drivers_other","NEW"," ---","dvb_usb_dibusb uses non-DMA-capable transfer buffer","2018-05-25 00:42:25"
202083,"v4l-dvb","ttpci","drivers_other","NEW"," ---","DVB: budget_ci: frequency out of range (470000000..862000000)","2019-07-21 21:07:16"
213011,"v4l-dvb","webcam","drivers_usb","NEW"," ---","[uvcvideo] Unable to turn on Realtek Semiconductor Corp. Integrated Webcam HD IR emitters","2021-05-10 08:12:33"
44421,"v4l-dvb","em28xx","drivers_video-other","NEW"," ---","em28xx (em28xx-audio.c) - code useful to fill up the root partition with VS-PVR TV306","2012-07-13 23:05:55"
111761,"v4l-dvb","bt8xx","drivers_video-other","NEW"," ---","bttv kernel module hard freezes linux boot up","2017-04-09 09:54:24"
202853,"v4l-dvb","v4l-other","drivers_video-other","NEW"," ---","TVP5150 could not be registered as V4L2 sub device","2022-03-03 11:23:41"
208433,"v4l-dvb","webcam","drivers_video-other","NEW"," ---","v4l2 failed to change format with VIDIOC_S_FMT for 2'nd time (C/C++)","2020-07-05 03:34:49"
62771,"v4l-dvb","webcam","greg","NEW"," ---","Regression causes cheese to crash since kernel 3.2 with vc0321 camera","2020-02-29 22:16:52"
198575,"v4l-dvb","webcam","greg","NEW"," ---","uvcvideo: Failed to resubmit video URB (-1).","2018-01-24 16:49:40"
73471,"v4l-dvb","saa7134","hverkuil","NEW"," ---","cannot restart tvtime with kernel 3.14","2017-05-24 08:44:20"
106111,"v4l-dvb","webcam","other_other","NEW"," ---","kworker + ksoftirqd use 100% of CPU","2015-12-15 20:02:23"
42564,"v4l-dvb","bt8xx","v4l-dvb_bt8xx","NEW"," ---","bttv / radio tuner in linux 3.[01].x broken? radio apps fail","2016-11-06 19:29:20"
55881,"v4l-dvb","bt8xx","v4l-dvb_bt8xx","NEW"," ---","Doesn't provide VIDIOC_ENUM_FRAMESIZES and VIDIOC_ENUM_FRAMEINTERVALS","2013-03-27 20:01:13"
60778,"v4l-dvb","bt8xx","v4l-dvb_bt8xx","NEW"," ---","[BISECTED]8e6057b510aad35 breaks mencoder tv recordings","2013-11-13 15:53:23"
63551,"v4l-dvb","bt8xx","v4l-dvb_bt8xx","NEW"," ---","[BISECTED]kernel freeze on boot","2013-11-13 12:04:19"
63741,"v4l-dvb","bt8xx","v4l-dvb_bt8xx","NEW"," ---","[PATCH]IR remote not functioning on KWORLD tv878rf -SOLVED","2014-10-12 13:32:13"
92931,"v4l-dvb","bt8xx","v4l-dvb_bt8xx","NEW"," ---","kernel oops on bttv_risc_hook","2016-11-09 19:43:58"
200157,"v4l-dvb","bt8xx","v4l-dvb_bt8xx","NEW"," ---","BUG: KASAN: null-ptr-deref in bttv_risc_planar.isra.3+0x2aa/0x520 [bttv]","2018-06-22 02:15:52"
9476,"v4l-dvb","cx88","v4l-dvb_cx88","NEW"," ---","[PATCH]Hauppauge Nova-S-Plus DVB-S does not lock on horizontal polarisation","2013-12-23 18:34:06"
37002,"v4l-dvb","cx88","v4l-dvb_cx88","NEW"," ---","WinTV-HVR1700 frontend initialization failed with ""dvb_register failed err = -22""","2012-08-24 14:32:39"
42674,"v4l-dvb","cx88","v4l-dvb_cx88","NEW"," ---","DVB_NET=n causes my Nova-T PCI cards to not work","2016-11-09 19:32:23"
42681,"v4l-dvb","cx88","v4l-dvb_cx88","NEW"," ---","[PATCH]Dvico FusionHDTV DVB-T Pro poweroff mode failure, err = -6","2012-08-30 14:15:57"
48511,"v4l-dvb","cx88","v4l-dvb_cx88","NEW"," ---","unable to handle kernel paging request during module load","2016-02-15 22:34:18"
50411,"v4l-dvb","cx88","v4l-dvb_cx88","NEW"," ---","No color with MPX-885 (cx23885 chip)","2012-11-12 09:32:19"
56261,"v4l-dvb","cx88","v4l-dvb_cx88","NEW"," ---","Problem when unloading cx88_dvb (DVB devices are not freed)","2013-04-05 12:33:13"
61131,"v4l-dvb","cx88","v4l-dvb_cx88","NEW"," ---","cx23885: tvheadend-3.2 finds no hardware","2013-11-17 11:53:46"
