"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
215113,"Virtualization","kvm","drivers_other","NEW"," ---","Stuck when using virtio driver to rotate the screen","2021-11-23 06:48:09"
207633,"Virtualization","kvm","other_other","NEW"," ---","kvm_amd avic crash when booting Windows 10 vm","2020-05-09 07:45:53"
40542,"Virtualization","kvm","virtualization_kvm","NEW"," ---","overflow/panic on KVM hipervizor","2014-06-25 16:08:17"
42082,"Virtualization","kvm","virtualization_kvm","NEW"," ---","3.1.0-rc2 block related lockdep report.","2014-06-25 16:15:44"
42635,"Virtualization","kvm","virtualization_kvm","NEW"," ---","PCIe passthrough broken with AMD iommu after s2disk / resume","2012-04-03 07:27:43"
42636,"Virtualization","kvm","virtualization_kvm","NEW"," ---","PCI passthrough does not work with AMD iommu for PCI device","2012-04-05 08:08:58"
42755,"Virtualization","kvm","virtualization_kvm","NEW"," ---","KVM is being extremely slow on AMD Athlon64 4000+ Dual Core 2.1GHz Brisbane","2012-02-26 09:53:22"
42782,"Virtualization","kvm","virtualization_kvm","NEW"," ---","IO_PAGE_FAULT while starting xorg","2012-08-30 14:39:52"
43068,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Operation restricted to levels L0-2 - kerneloops when booting L3","2015-03-17 03:53:51"
53191,"Virtualization","kvm","virtualization_kvm","NEW"," ---","hardware error 0x80000021 on a KVM virtual machine with kernel 3.7","2014-05-20 04:03:57"
53361,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Wrong CPUID data returned by KVM","2019-04-08 15:02:06"
53641,"Virtualization","kvm","virtualization_kvm","NEW"," ---","nVMX: Windows as L2 guest doesn't work","2016-02-16 21:47:20"
53651,"Virtualization","kvm","virtualization_kvm","NEW"," ---","nVMX: L1 crashes with no-kvm-irqchip","2015-04-08 10:33:23"
53681,"Virtualization","kvm","virtualization_kvm","NEW"," ---","nVMX: Rare crash on shadow-on-shadow case","2015-03-17 03:53:51"
53691,"Virtualization","kvm","virtualization_kvm","NEW"," ---","nVMX: Bug when L1 is swapped out","2015-03-17 03:53:51"
53701,"Virtualization","kvm","virtualization_kvm","NEW"," ---","nVMX: Unchecked setting of cr4 for nested guest","2015-03-17 03:53:51"
53711,"Virtualization","kvm","virtualization_kvm","NEW"," ---","nVMX: potential bug with IDT_VECTORING_INFO if !PIN_BASED_EXT_INTR_MASK","2015-03-17 03:53:51"
53761,"Virtualization","kvm","virtualization_kvm","NEW"," ---","nVMX: MSR bitmap merging","2015-03-17 03:53:51"
53851,"Virtualization","kvm","virtualization_kvm","NEW"," ---","nVMX: Support live migration of whole L1 guest","2021-06-09 09:15:04"
53861,"Virtualization","kvm","virtualization_kvm","NEW"," ---","nVMX: inaccuracy in emulation of entry failure","2015-03-17 03:53:51"
53871,"Virtualization","kvm","virtualization_kvm","NEW"," ---","nVMX: Can malicious L2 kill L1?","2015-03-17 03:53:51"
54161,"Virtualization","kvm","virtualization_kvm","NEW"," ---","nVMX: nested vpid","2015-03-17 03:53:51"
54461,"Virtualization","kvm","virtualization_kvm","NEW"," ---","nVMX: Downgrading nested VMX features from user-space","2015-03-17 03:53:51"
55061,"Virtualization","kvm","virtualization_kvm","NEW"," ---","cpu stats reported in cgroup file is erroneous","2013-03-26 17:28:27"
55711,"Virtualization","kvm","virtualization_kvm","NEW"," ---","arm/kvm/arm.c:203: possible missing break ?","2019-04-08 14:25:43"
59521,"Virtualization","kvm","virtualization_kvm","NEW"," ---","KVM linux guest reads uninitialized pvclock values before executing rdmsr MSR_KVM_WALL_CLOCK","2013-06-17 21:29:08"
59891,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Unrecoverable Kernel Panic, in Virtio Net in memcpy(), Complete system lockup.","2016-02-15 15:03:32"
60620,"Virtualization","kvm","virtualization_kvm","NEW"," ---","guest loses frequently (multiple times per day!) connectivity to network device","2013-11-12 14:26:03"
60642,"Virtualization","kvm","virtualization_kvm","NEW"," ---","guest uses 100% and completely hangs","2019-06-15 19:17:10"
60782,"Virtualization","kvm","virtualization_kvm","NEW"," ---","[Nested] Windows XP Mode can not work","2016-02-16 21:47:30"
60863,"Virtualization","kvm","virtualization_kvm","NEW"," ---","monitor usb_add host does not work correct","2013-09-06 13:33:06"
64601,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Whole system crashes when sharing network card in virtual PC only on kernel 3.11","2016-02-12 17:52:04"
64801,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Nested Virtualisation with KVM on Intel and AMD processors: L2 unreachable","2013-11-11 20:47:08"
65561,"Virtualization","kvm","virtualization_kvm","NEW"," ---","KVM:Entry failed on Single stepping sti instruction","2014-05-25 08:00:48"
65941,"Virtualization","kvm","virtualization_kvm","NEW"," ---","KVM Guest Solaris 10/11 - a few time in an hour time jumps for a while to 1.jan 1970","2013-11-27 08:35:20"
67751,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Stack trace with suspicious RCU usage, when starting ovs-switchd","2014-06-24 09:53:55"
75331,"Virtualization","kvm","virtualization_kvm","NEW"," ---","""soft lockup CPU#0 stuck for 23s"" regression on 32bit 3.13.0+ kernels.","2014-05-03 20:13:20"
76141,"Virtualization","kvm","virtualization_kvm","NEW"," ---","kvm intel nested virtualization get PANIC: double fault, error_code: 0x0","2014-05-15 01:38:16"
76331,"Virtualization","kvm","virtualization_kvm","NEW"," ---","kernel BUG at drivers/iommu/intel-iommu.c:844!","2016-03-19 17:08:44"
77871,"Virtualization","kvm","virtualization_kvm","NEW"," ---","USB device passthrough to Virtual GUEST system from Linux","2014-06-14 07:24:59"
81011,"Virtualization","kvm","virtualization_kvm","NEW"," ---","crashed on launching KVM with Juniper Simulator","2014-07-24 10:04:46"
83381,"Virtualization","kvm","virtualization_kvm","NEW"," ---","4-ports 82576 detect 2 ports when add ""intel_iommu=on pci=assign-busses"".","2014-09-05 07:00:55"
86161,"Virtualization","kvm","virtualization_kvm","NEW"," ---","On KVM, Windows 7 32bit guests sometimes run into blue screen(0x0000005c) during reboot","2016-04-05 09:55:38"
87611,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Duplicate interrupt abbreviation [patch proposal included]","2014-12-10 17:38:10"
89221,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Heavy workload bewteen two KVM guest using vxlan tunnel stuck","2016-02-15 15:01:09"
90381,"Virtualization","kvm","virtualization_kvm","NEW"," ---","error when loading kvm_intel module kvm_intel unuseable","2015-03-17 03:53:51"
92871,"Virtualization","kvm","virtualization_kvm","NEW"," ---","nested kvm - Warning in L0 kernel when trying to launch L2 guest in L1 guest","2015-03-18 19:28:33"
93251,"Virtualization","kvm","virtualization_kvm","NEW"," ---","qemu-kvm guests randomly hangs after reboot command in guest","2015-04-14 13:57:03"
94011,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Enable CONFIG_PARAVIRT_SPINLOCKS by default","2015-02-28 14:14:26"
94771,"Virtualization","kvm","virtualization_kvm","NEW"," ---","[Nested kvm on kvm] 32bit win7 guest as L2 guest show blue screen","2015-03-17 04:53:56"
94971,"Virtualization","kvm","virtualization_kvm","NEW"," ---","nVMX meta bug","2015-03-17 09:12:56"
98741,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Cannot boot into kvm guest with kernel >= 3.18.x on el6.6 qemu-kvm host with virtio-blk-pci.x-data-plane=on and virtio-blk-pci.ioeventfd=on","2015-05-21 06:46:53"
98841,"Virtualization","kvm","virtualization_kvm","NEW"," ---","android emulator broken since d7a2a24 kernel commit","2015-06-26 18:07:19"
100661,"Virtualization","kvm","virtualization_kvm","NEW"," ---","kernel panic in vmx_vcpu_run","2017-03-06 20:07:39"
102651,"Virtualization","kvm","virtualization_kvm","NEW"," ---","vcpuX unhandled rdmsr: 0x570","2015-11-03 00:58:29"
103131,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Forgotten stack pushes with KVM_MEM_READONLY","2015-08-19 14:12:10"
103141,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Host-triggerable NULL pointer oops","2019-07-14 18:09:47"
103851,"Virtualization","kvm","virtualization_kvm","NEW"," ---","qemu windows guest hangs on 100% cpu usage","2015-09-01 10:00:15"
104091,"Virtualization","kvm","virtualization_kvm","NEW"," ---","[bisected] Starting a VM causes the host to halt and create Machine Check Exceptions","2016-01-20 07:08:15"
104631,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Error on walk_shadow_page_get_mmio_spte when starting Qemu","2015-09-16 03:36:04"
105311,"Virtualization","kvm","virtualization_kvm","NEW"," ---","AMD-Vi: Event logged [INVALID_DEVICE_REQUEST device=00:14.0 address=0x000000fdf9103300 flags=0x0600]","2016-09-24 19:40:17"
108021,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Kernel Panic in the Virtual Machines running kernel 3.13.0-44-generic (Ubuntu)","2015-11-17 02:43:29"
108381,"Virtualization","kvm","virtualization_kvm","NEW"," ---","KVM crashes when using qemu/kvm with specific BIOS","2015-11-24 01:46:04"
115991,"Virtualization","kvm","virtualization_kvm","NEW"," ---","tsc_offset is error for hot-plugged vcpu.","2016-04-07 07:03:13"
116011,"Virtualization","kvm","virtualization_kvm","NEW"," ---","After hot plug vcpu, kvm_arch->use_master_clock will never be true.","2016-04-07 07:42:28"
116031,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Many MSR sets are skipped when vcpu type is qemu64.","2016-04-08 08:06:21"
116611,"Virtualization","kvm","virtualization_kvm","NEW"," ---","scsi-block passthrough breaks with external pci-express SATA controller","2016-04-18 05:26:59"
117301,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Could not insert kvm_intel on dual Xeon X5355","2016-04-29 13:30:56"
118121,"Virtualization","kvm","virtualization_kvm","NEW"," ---","KVM - unhandled rdmsr - VFIO+Radeon R9 380, Win10 Guest","2016-05-12 14:56:32"
118191,"Virtualization","kvm","virtualization_kvm","NEW"," ---","performance regression since dynamic halt-polling","2016-05-13 08:08:45"
121011,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Whole system freezes randomly when booting with 'iommu=on' kernel parameter","2016-06-26 16:21:24"
121651,"Virtualization","kvm","virtualization_kvm","NEW"," ---","KVM throws internal error.","2016-07-07 19:28:40"
135471,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Oops IP: [<ffffffffa0047081>] rmap_get_first+0x21/0x60 [kvm]","2016-07-18 14:48:47"
150851,"Virtualization","kvm","virtualization_kvm","NEW"," ---","general protection fault: 0000 [#1] SMP; native_read_pmc+0x7/0x40","2016-08-12 17:24:59"
153571,"Virtualization","kvm","virtualization_kvm","NEW"," ---","100% CPU usage on guest VM","2017-02-24 07:52:03"
155211,"Virtualization","kvm","virtualization_kvm","NEW"," ---","vcpu0, guest rIP: 0xffffffff81064496 unhandled rdmsr: 0x34","2020-03-17 11:43:32"
155841,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Kernel panic with high network tarffic to KVM guest","2016-09-03 10:44:20"
177451,"Virtualization","kvm","virtualization_kvm","NEW"," ---","vhost_scsi_flush: warning: the frame size of 1032 bytes is larger than 1024 bytes","2016-10-13 19:33:31"
183841,"Virtualization","kvm","virtualization_kvm","NEW"," ---","BUG - KVM crashes randomly starting Qemu+KVM+VFIO-PCI Passthrough","2017-02-16 01:39:40"
186951,"Virtualization","kvm","virtualization_kvm","NEW"," ---","qcow2 - filesize 8.1Petabyte","2016-11-09 19:29:33"
188371,"Virtualization","kvm","virtualization_kvm","NEW"," ---","warning on kvm_lapic_expired_hv_timer","2016-11-22 23:16:17"
190131,"Virtualization","kvm","virtualization_kvm","NEW"," ---","VirtIO Windows Drivers doesn't support SecureBoot.","2020-06-28 11:04:21"
190211,"Virtualization","kvm","virtualization_kvm","NEW"," ---","memory ballooning doesn't take on boot since approx kernel 4.5.3","2016-12-14 23:28:59"
191451,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Host hangs when hyperv/pvspinlock are disabled","2017-10-07 02:04:52"
191701,"Virtualization","kvm","virtualization_kvm","NEW"," ---","AMD-Vi completion-wait loop time outs freeze system","2017-06-30 15:50:59"
192521,"Virtualization","kvm","virtualization_kvm","NEW"," ---","KVM: entry failed, hardware error 0x0","2018-10-05 16:36:33"
194883,"Virtualization","kvm","virtualization_kvm","NEW"," ---","kvm: workqueue lockup","2017-03-27 15:45:29"
194923,"Virtualization","kvm","virtualization_kvm","NEW"," ---","kvm-intel.nested=1 does not enable nested KVM","2017-03-21 03:40:37"
195167,"Virtualization","kvm","virtualization_kvm","NEW"," ---","INVEPT might crash the host","2017-04-24 22:12:53"
195207,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Kvmclock: Time warp when hotplug vcpu.","2018-06-01 08:32:12"
195297,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Multiqueue","2017-04-09 05:25:36"
195315,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Kernel WARNING: At arch/x86/kvm/lapic.c:1468 kvm_lapic_expired_hv_timer+0xee/0x110 [kvm]","2017-06-12 15:23:12"
195469,"Virtualization","kvm","virtualization_kvm","NEW"," ---","VM internal error. Suberror: 1 / windows guest","2017-04-20 07:58:11"
195555,"Virtualization","kvm","virtualization_kvm","NEW"," ---","kvm crashes qemu when geth (ethereum mining software) mines in a qemu kvm guest.","2017-04-22 19:04:00"
195813,"Virtualization","kvm","virtualization_kvm","NEW"," ---","intel gvt/kvmgt: BUG: unable to handle kernel NULL pointer dereference at (null)","2017-08-22 09:32:16"
196067,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Kernel WARNING: CPU: 14 PID: 2920 at arch/x86/kvm/svm.c:1484 avic_vcpu_load+0x16b/0x180 [kvm_amd]","2017-06-14 03:30:59"
196149,"Virtualization","kvm","virtualization_kvm","NEW"," ---","QEMU causes a host hang / reset on PPC64EL when used in KVM + HV mode (kvm_hv module)","2017-08-26 22:33:56"
196409,"Virtualization","kvm","virtualization_kvm","NEW"," ---","kvm_amd nested pagetable gpu passthrough performance oddities","2017-10-27 08:34:13"
196527,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Terrible KVM USB passthrough performance","2017-08-10 12:38:10"
196685,"Virtualization","kvm","virtualization_kvm","NEW"," ---","System becomes unresponsive after intel_iommu kernel error","2017-08-23 07:04:23"
196717,"Virtualization","kvm","virtualization_kvm","NEW"," ---","CPU: 0 PID: 5405 at arch/x86/kvm/mmu.c:717 mmu_spte_clear_track_bits+0xe7/0x100 [kvm]","2017-08-23 01:39:21"
197077,"Virtualization","kvm","virtualization_kvm","NEW"," ---","WARNING: CPU: 0 PID: 12216 at arch/x86/kernel/fpu/core.c:47 kernel_fpu_disable+0x3f/0x50","2017-11-30 12:43:30"
197097,"Virtualization","kvm","virtualization_kvm","NEW"," ---","Kernel panic in interrupt [virtio_net]","2018-01-30 18:21:01"
197381,"Virtualization","kvm","virtualization_kvm","NEW"," ---","reading segmented memory in kvm","2017-10-25 07:57:45"
197813,"Virtualization","kvm","virtualization_kvm","NEW"," ---","KVM: entry failed, hardware error 0x5","2018-03-20 17:51:00"
